filename,class0,class1,class2,mean
patient101_frame01.nii.gz,0.0014820091,0.0017610707,0.00084451603,0.0013625319
patient101_frame14.nii.gz,0.00075386965,0.0021082168,0.0011148828,0.0013256563
patient102_frame01.nii.gz,0.0016270439,0.0011513947,0.00037174657,0.0010500617
patient102_frame13.nii.gz,0.00059529743,0.0014288829,0.0005398159,0.0008546654
patient103_frame01.nii.gz,0.0020023747,0.0025365695,0.00107594,0.0018716281
patient103_frame11.nii.gz,0.0025383444,0.002755901,0.0011359362,0.002143394
patient104_frame01.nii.gz,0.003269489,0.0036151542,0.0010969025,0.002660515
patient104_frame11.nii.gz,0.001692197,0.0031343424,0.0010305758,0.0019523717
patient105_frame01.nii.gz,0.00064122025,0.003187527,0.0018774336,0.0019020602
patient105_frame10.nii.gz,0.0006232446,0.0024423536,0.00082597224,0.0012971902
patient106_frame01.nii.gz,0.001081493,0.0021150154,0.00091972464,0.0013720776
patient106_frame13.nii.gz,0.0012181554,0.0024751776,0.0011869544,0.0016267624
patient107_frame01.nii.gz,0.0018596996,0.0019352078,0.00060775416,0.0014675539
patient107_frame10.nii.gz,0.0031336667,0.0015790708,0.00096394715,0.0018922283
patient108_frame01.nii.gz,0.0013100827,0.0020550524,0.0007189127,0.0013613492
patient108_frame09.nii.gz,0.00111507,0.0020804298,0.0008795336,0.0013583446
patient109_frame01.nii.gz,0.0016324233,0.0019261275,0.0008313903,0.0014633137
patient109_frame10.nii.gz,0.0022238577,0.0018611026,0.0017429669,0.0019426425
patient110_frame01.nii.gz,0.00080569193,0.0017549417,0.00072186545,0.0010941663
patient110_frame11.nii.gz,0.0019695973,0.0014668579,0.00048835186,0.001308269
patient111_frame01.nii.gz,0.0015151578,0.0008707977,0.0018218904,0.0014026152
patient111_frame07.nii.gz,0.00061035005,0.000995165,0.0002268152,0.00061077677
patient112_frame01.nii.gz,0.0013603896,0.00313282,0.0013715096,0.0019549064
patient112_frame12.nii.gz,0.0012954163,0.0037645947,0.0019838926,0.0023479678
