filename,class0,class1,class2,mean
patient101_frame01.nii.gz,0.8655857,0.802231,0.94914937,0.872322
patient101_frame14.nii.gz,0.85116225,0.78512263,0.91720456,0.85116315
patient102_frame01.nii.gz,0.86682695,0.84289294,0.946607,0.88544226
patient102_frame13.nii.gz,0.88698304,0.8628147,0.8329769,0.8609249
patient103_frame01.nii.gz,0.79593927,0.8493808,0.9417681,0.8623627
patient103_frame11.nii.gz,0.34292972,0.8557062,0.9124559,0.70369726
patient104_frame01.nii.gz,0.8306132,0.8282406,0.9332706,0.8640415
patient104_frame11.nii.gz,0.8037742,0.8847644,0.7190219,0.8025201
patient105_frame01.nii.gz,0.9360898,0.79580706,0.88404155,0.8719795
patient105_frame10.nii.gz,0.8447122,0.8636517,0.75427544,0.82087976
patient106_frame01.nii.gz,0.95353824,0.79632473,0.95998466,0.90328246
patient106_frame13.nii.gz,0.94299614,0.78638506,0.9506121,0.8933311
patient107_frame01.nii.gz,0.90293837,0.7709208,0.9565795,0.8768129
patient107_frame10.nii.gz,0.78240126,0.83497363,0.87689894,0.83142465
patient108_frame01.nii.gz,0.90777355,0.83568996,0.93801063,0.89382476
patient108_frame09.nii.gz,0.8202287,0.86572593,0.73733526,0.8077633
patient109_frame01.nii.gz,0.9477273,0.8284718,0.9554516,0.9105503
patient109_frame10.nii.gz,0.923058,0.86178905,0.8760732,0.8869734
patient110_frame01.nii.gz,0.9430882,0.83577967,0.9385135,0.90579385
patient110_frame11.nii.gz,0.8353245,0.8878555,0.88231796,0.86849934
patient111_frame01.nii.gz,0.8434487,0.86591357,0.9222239,0.87719536
patient111_frame07.nii.gz,0.84531796,0.92924625,0.8812785,0.8852809
patient112_frame01.nii.gz,0.92856944,0.795343,0.9404498,0.8881207
patient112_frame12.nii.gz,0.84299123,0.790295,0.8669921,0.8334262
patient113_frame01.nii.gz,0.92911816,0.82696086,0.96263874,0.9062392
patient113_frame08.nii.gz,0.8214134,0.85953844,0.9595115,0.88015443
patient114_frame01.nii.gz,0.82508224,0.8698897,0.90984017,0.8682707
patient114_frame11.nii.gz,0.7313294,0.87098235,0.81058866,0.8043001
patient115_frame01.nii.gz,0.9439222,0.8370633,0.94963586,0.9102071
patient115_frame13.nii.gz,0.8336252,0.862711,0.9200484,0.87212825
patient116_frame01.nii.gz,0.8680603,0.8228019,0.9185731,0.8698118
patient116_frame09.nii.gz,0.6897118,0.8766975,0.8721168,0.8128421
patient117_frame01.nii.gz,0.9091363,0.80935204,0.9594727,0.8926537
patient117_frame13.nii.gz,0.8328638,0.8323611,0.94525856,0.8701611
patient118_frame01.nii.gz,0.95016795,0.8944466,0.96399283,0.93620247
patient118_frame10.nii.gz,0.81728685,0.9206332,0.9593396,0.89908653
patient119_frame01.nii.gz,0.95990705,0.7939572,0.95165664,0.90184027
patient119_frame09.nii.gz,0.91220754,0.8694871,0.93181926,0.9045046
