filename,class0,class1,class2,mean
patient101_frame01.nii.gz,0.00084608264,0.0011358672,0.0005362448,0.00083939824
patient101_frame14.nii.gz,0.0006864019,0.0013858712,0.00053266826,0.0008683138
patient102_frame01.nii.gz,0.000756238,0.0014820559,0.00050037325,0.0009128891
patient102_frame13.nii.gz,0.0006297753,0.0014546334,0.00056670187,0.0008837035
patient103_frame01.nii.gz,0.002588858,0.0024532333,0.0011978742,0.0020799884
patient103_frame11.nii.gz,0.0024825553,0.0037224079,0.0017325134,0.0026458257
patient104_frame01.nii.gz,0.0036056999,0.0037227406,0.0012758145,0.002868085
patient104_frame11.nii.gz,0.0014910676,0.0025341283,0.00068259274,0.0015692628
patient105_frame01.nii.gz,0.0006522646,0.002049028,0.0009084952,0.0012032626
patient105_frame10.nii.gz,0.0005924523,0.002241514,0.001108435,0.0013141338
patient106_frame01.nii.gz,0.0011424043,0.0023262892,0.0010128118,0.001493835
patient106_frame13.nii.gz,0.0012897959,0.002638778,0.0013461922,0.0017582554
patient107_frame01.nii.gz,0.002420751,0.0016759259,0.0006183401,0.0015716722
patient107_frame10.nii.gz,0.003097285,0.0011135138,0.0004329119,0.0015479036
patient108_frame01.nii.gz,0.0008178123,0.0013064456,0.0003594822,0.00082791335
patient108_frame09.nii.gz,0.0009818322,0.0020342004,0.0009453411,0.0013204579
patient109_frame01.nii.gz,0.0021190704,0.0024454629,0.0011069981,0.0018905103
patient109_frame10.nii.gz,0.0040057544,0.0031135976,0.0019646226,0.0030279916
patient110_frame01.nii.gz,0.0007334893,0.0013948327,0.0005777156,0.00090201263
patient110_frame11.nii.gz,0.0018946183,0.0013756866,0.0005529007,0.0012744018
patient111_frame01.nii.gz,0.002187757,0.0018056533,0.0021034956,0.002032302
patient111_frame07.nii.gz,0.0009084323,0.001163609,0.00048059557,0.00085087895
patient112_frame01.nii.gz,0.0011080031,0.002109224,0.0008728857,0.0013633709
patient112_frame12.nii.gz,0.00065983203,0.0020240266,0.00085289526,0.0011789179
patient113_frame01.nii.gz,0.0005791096,0.0032006605,0.0010529571,0.0016109091
patient113_frame08.nii.gz,0.0015650609,0.0029833177,0.0012616733,0.001936684
patient114_frame01.nii.gz,0.0019594517,0.0037076292,0.0015721059,0.0024130624
patient114_frame11.nii.gz,0.0034082523,0.0037838705,0.0011289582,0.0027736938
patient115_frame01.nii.gz,0.00076333823,0.002034241,0.0008344935,0.0012106909
patient115_frame13.nii.gz,0.0013167241,0.0016451369,0.0007763042,0.001246055
patient116_frame01.nii.gz,0.0013450887,0.001888634,0.00079616846,0.0013432972
patient116_frame09.nii.gz,0.0012516568,0.0015326274,0.00043808858,0.0010741242
patient117_frame01.nii.gz,0.00196578,0.0025202956,0.00088721607,0.0017910972
patient117_frame13.nii.gz,0.002218831,0.0026477068,0.0007831241,0.0018832205
patient118_frame01.nii.gz,0.0008328932,0.001180106,0.0004385951,0.00081719813
patient118_frame10.nii.gz,0.002187023,0.0010250552,0.0005048461,0.0012389747
patient119_frame01.nii.gz,0.00057003857,0.0014061767,0.00057534676,0.00085052074
patient119_frame09.nii.gz,0.0012300943,0.0009522195,0.00032737313,0.0008365623
patient120_frame01.nii.gz,0.0012571694,0.0027388688,0.0014080371,0.0018013585
patient120_frame08.nii.gz,0.0009331093,0.002603118,0.00077168207,0.0014359698
patient121_frame01.nii.gz,0.0021330286,0.0026393307,0.0013096969,0.002027352
patient121_frame10.nii.gz,0.0032310772,0.003474061,0.0013737802,0.0026929725
patient122_frame01.nii.gz,0.00044423438,0.0016492254,0.0006323839,0.00090861454
patient122_frame06.nii.gz,0.0010116773,0.0018370692,0.0008352747,0.001228007
patient123_frame01.nii.gz,0.003153852,0.0030604247,0.0023663845,0.0028602204
patient123_frame11.nii.gz,0.001809274,0.0021006805,0.00088215846,0.001597371
patient124_frame01.nii.gz,0.001954554,0.0016034105,0.00096708746,0.0015083508
patient124_frame07.nii.gz,0.0039626616,0.0014704518,0.00060595846,0.002013024
patient125_frame01.nii.gz,0.00037845544,0.0018642114,0.00072766223,0.0009901096
patient125_frame07.nii.gz,0.0014737106,0.000698413,0.00039430583,0.00085547654
patient126_frame01.nii.gz,0.0014745117,0.0009851523,0.0002907411,0.0009168017
