filename,class0,class1,class2,mean
patient101_frame01.nii.gz,0.0009466298,0.0012074322,0.0006721113,0.00094205776
patient101_frame14.nii.gz,0.00058145175,0.0014367548,0.00059913896,0.0008724485
patient102_frame01.nii.gz,0.0009879036,0.001573351,0.0005844383,0.0010485643
patient102_frame13.nii.gz,0.00077488803,0.0014927603,0.00062360277,0.0009637503
patient103_frame01.nii.gz,0.0027959507,0.00269213,0.0012445131,0.002244198
patient103_frame11.nii.gz,0.0025873894,0.0038853094,0.0017940504,0.002755583
patient104_frame01.nii.gz,0.0039897934,0.0041627195,0.0014866249,0.003213046
patient104_frame11.nii.gz,0.001624197,0.0028233787,0.00070402736,0.001717201
patient105_frame01.nii.gz,0.00071029,0.0019019055,0.00094391196,0.0011853691
patient105_frame10.nii.gz,0.0005524923,0.002236407,0.0012087576,0.0013325523
patient106_frame01.nii.gz,0.0011319292,0.0024475069,0.0010473141,0.00154225
patient106_frame13.nii.gz,0.0012968038,0.0026876559,0.0013277153,0.001770725
patient107_frame01.nii.gz,0.0027010755,0.0017668324,0.000686756,0.0017182212
patient107_frame10.nii.gz,0.003430778,0.001426569,0.00056960294,0.0018089833
patient108_frame01.nii.gz,0.0007912876,0.0013610517,0.0004164481,0.00085626246
patient108_frame09.nii.gz,0.00092247763,0.002058394,0.0010047534,0.0013285415
patient109_frame01.nii.gz,0.0023396306,0.0026881085,0.0011760435,0.0020679275
patient109_frame10.nii.gz,0.0041702706,0.0032130452,0.0020109497,0.003131422
patient110_frame01.nii.gz,0.0011458272,0.001635027,0.0006507885,0.0011438809
patient110_frame11.nii.gz,0.0021012134,0.0014475735,0.0005343343,0.0013610404
patient111_frame01.nii.gz,0.0026551143,0.0020872778,0.0019872836,0.0022432252
patient111_frame07.nii.gz,0.001044246,0.0012547516,0.0004720401,0.00092367927
patient112_frame01.nii.gz,0.0011249203,0.0023365794,0.00096144684,0.0014743154
patient112_frame12.nii.gz,0.0005857514,0.002158584,0.00094794965,0.0012307618
patient113_frame01.nii.gz,0.00070860994,0.0030820025,0.0010715561,0.0016207228
patient113_frame08.nii.gz,0.0017401568,0.0028402684,0.0011391892,0.001906538
patient114_frame01.nii.gz,0.002114414,0.0041338755,0.0016968647,0.002648385
patient114_frame11.nii.gz,0.0033715991,0.0040451833,0.0011983126,0.0028716985
patient115_frame01.nii.gz,0.0007454398,0.0019369286,0.00082958274,0.0011706504
patient115_frame13.nii.gz,0.0014122693,0.0017750099,0.0008234672,0.0013369154
patient116_frame01.nii.gz,0.0014164462,0.0018185253,0.0007855212,0.0013401642
patient116_frame09.nii.gz,0.0011887581,0.0015210721,0.000500709,0.0010701797
patient117_frame01.nii.gz,0.0020389808,0.002369222,0.00089212594,0.0017667763
patient117_frame13.nii.gz,0.0022508448,0.0026419098,0.00079960935,0.0018974546
patient118_frame01.nii.gz,0.0007431852,0.0013922299,0.0005101088,0.00088184123
patient118_frame10.nii.gz,0.0022569485,0.0009853818,0.0004018289,0.0012147197
patient119_frame01.nii.gz,0.0006672578,0.0014208931,0.00060810905,0.0008987533
patient119_frame09.nii.gz,0.0013303238,0.0010743763,0.00034680378,0.0009171679
patient120_frame01.nii.gz,0.0012188961,0.0027850072,0.0014458203,0.0018165745
patient120_frame08.nii.gz,0.0009769307,0.0026527906,0.00070873357,0.0014461516
patient121_frame01.nii.gz,0.0023797348,0.0028608378,0.001392763,0.0022111118
patient121_frame10.nii.gz,0.0033533755,0.0034472106,0.0014539855,0.0027515239
patient122_frame01.nii.gz,0.0005501672,0.001801776,0.00069482933,0.0010155909
patient122_frame06.nii.gz,0.0011052488,0.002057266,0.0008537344,0.0013387498
patient123_frame01.nii.gz,0.00340296,0.0031276979,0.0024162927,0.0029823168
patient123_frame11.nii.gz,0.002114752,0.0021708636,0.0010098483,0.0017651548
patient124_frame01.nii.gz,0.0020738342,0.0018628229,0.0011267444,0.0016878005
patient124_frame07.nii.gz,0.0041403747,0.0015803569,0.00063504727,0.002118593
patient125_frame01.nii.gz,0.00038855502,0.0018079561,0.0007244968,0.00097366935
patient125_frame07.nii.gz,0.0017401185,0.00079709006,0.00051306235,0.001016757
patient126_frame01.nii.gz,0.001413188,0.0009861868,0.00032813253,0.00090916903
patient126_frame07.nii.gz,0.00095110247,0.000644983,0.00024729501,0.00061446015
patient127_frame01.nii.gz,0.0036538113,0.0015512535,0.0006951602,0.0019667416
patient127_frame07.nii.gz,0.0029153067,0.0010228278,0.00088405085,0.0016073952
patient128_frame01.nii.gz,0.00083188765,0.0018438301,0.0008525825,0.0011761001
patient128_frame11.nii.gz,0.0010113755,0.0023622077,0.0012583233,0.0015439689
patient129_frame01.nii.gz,0.0049040196,0.003900963,0.0021516937,0.0036522255
patient129_frame08.nii.gz,0.0023748104,0.00443731,0.0015474246,0.0027865153
patient130_frame01.nii.gz,0.0009833148,0.0018832091,0.0006453314,0.0011706183
patient130_frame11.nii.gz,0.0013949958,0.0019649256,0.00095922826,0.0014397166
patient131_frame01.nii.gz,0.0031241921,0.0024159078,0.0008705544,0.0021368847
patient131_frame09.nii.gz,0.0039127166,0.0020625752,0.00065957184,0.0022116213
patient132_frame01.nii.gz,0.000818262,0.0023725964,0.00087953807,0.0013567988
patient132_frame15.nii.gz,0.00097927,0.0024013014,0.00080984127,0.0013968042
patient133_frame01.nii.gz,0.0014134219,0.0025742159,0.0013787859,0.0017888079
patient133_frame10.nii.gz,0.0015772965,0.0030614228,0.0014164263,0.0020183818
patient134_frame01.nii.gz,0.0022042536,0.0020556436,0.0016290118,0.0019629698
patient134_frame15.nii.gz,0.0012813334,0.002242955,0.0019189549,0.0018144144
patient135_frame01.nii.gz,0.0010812866,0.0016737375,0.00064254185,0.0011325219
patient135_frame10.nii.gz,0.0019237224,0.0013079946,0.00073350326,0.0013217401
patient136_frame01.nii.gz,0.0011370942,0.002046743,0.00068096234,0.0012882665
patient136_frame12.nii.gz,0.00064448046,0.0020360402,0.0009118511,0.0011974572
patient137_frame01.nii.gz,0.0020913384,0.0033500977,0.0022776395,0.0025730252
patient137_frame11.nii.gz,0.0013145993,0.0030473743,0.0014381183,0.0019333638
patient138_frame01.nii.gz,0.0019339843,0.0022959865,0.0015009482,0.0019103064
patient138_frame10.nii.gz,0.0018611827,0.0019418892,0.0010552383,0.0016194368
patient139_frame01.nii.gz,0.00039288343,0.0019855273,0.00086778024,0.0010820637
patient139_frame08.nii.gz,0.00085479126,0.0014544356,0.00074315444,0.0010174605
patient140_frame01.nii.gz,0.0033644233,0.0021895855,0.0012819576,0.0022786555
patient140_frame09.nii.gz,0.0038989806,0.0014911502,0.0012408115,0.0022103142
patient141_frame01.nii.gz,0.0014196509,0.0017684879,0.001421818,0.0015366523
patient141_frame11.nii.gz,0.0018579144,0.0020674346,0.0017350522,0.0018868004
patient142_frame01.nii.gz,0.0055638133,0.0060994327,0.0034633277,0.005042191
patient142_frame12.nii.gz,0.00442152,0.005383634,0.0012331569,0.0036794369
patient143_frame01.nii.gz,0.0011599022,0.0030532226,0.0018432634,0.002018796
patient143_frame12.nii.gz,0.0013325558,0.0027410379,0.0011158794,0.0017298245
patient144_frame01.nii.gz,0.004022436,0.0019245289,0.0008758996,0.002274288
patient144_frame09.nii.gz,0.0012906458,0.002633565,0.000965896,0.0016300357
patient145_frame01.nii.gz,0.0015162908,0.0019845965,0.0010252353,0.0015087075
patient145_frame13.nii.gz,0.00062543835,0.0021380715,0.0009428472,0.0012354524
patient146_frame01.nii.gz,0.0008483052,0.001308912,0.00052706787,0.00089476164
patient146_frame10.nii.gz,0.0009212269,0.0016064987,0.0005131841,0.0010136366
patient147_frame01.nii.gz,0.0013760087,0.00072991115,0.00026421732,0.0007900458
patient147_frame09.nii.gz,0.0009661945,0.0008300938,0.00031059867,0.0007022957
patient148_frame01.nii.gz,0.0015328731,0.0025456564,0.0010129204,0.0016971501
patient148_frame10.nii.gz,0.001402788,0.0024582972,0.0013826934,0.0017479261
patient149_frame01.nii.gz,0.0025476345,0.001462918,0.0004150103,0.0014751876
patient149_frame12.nii.gz,0.0032785337,0.0015786142,0.00059920596,0.0018187846
patient150_frame01.nii.gz,0.00063063926,0.0011105097,0.00050003553,0.0007470615
patient150_frame12.nii.gz,0.0022184656,0.0023113962,0.00073018385,0.0017533485
