filename,class0,class1,class2,mean
patient101_frame01.nii.gz,0.0015945892,0.0012186699,0.0007599162,0.0011910584
patient101_frame14.nii.gz,0.0005930271,0.0013826805,0.00085250894,0.0009427389
patient102_frame01.nii.gz,0.00064443104,0.0005930566,0.00014319802,0.00046022856
patient102_frame13.nii.gz,0.00035097598,0.00077962864,0.00045657955,0.00052906136
patient103_frame01.nii.gz,0.0017556925,0.0016177419,0.00077149307,0.0013816425
patient103_frame11.nii.gz,0.0017816869,0.0020075673,0.0008303603,0.0015398716
patient104_frame01.nii.gz,0.0023728076,0.0023221464,0.0008340067,0.0018429869
patient104_frame11.nii.gz,0.0012479645,0.0021434247,0.0006353325,0.0013422406
patient105_frame01.nii.gz,0.00018523604,0.0022266647,0.0013953976,0.0012690994
patient105_frame10.nii.gz,0.00045152422,0.0019259631,0.0008754796,0.0010843222
patient106_frame01.nii.gz,0.0008563366,0.00095794577,0.0004450829,0.00075312174
patient106_frame13.nii.gz,0.00067974924,0.0016249222,0.0009091814,0.0010712842
patient107_frame01.nii.gz,0.000793227,0.0009987431,0.0002636736,0.00068521453
patient107_frame10.nii.gz,0.0028250762,0.0011679305,0.0006751333,0.0015560468
patient108_frame01.nii.gz,0.0013187926,0.0012709989,0.00057747203,0.0010557546
patient108_frame09.nii.gz,0.0008249178,0.0021879114,0.0010130315,0.0013419535
patient109_frame01.nii.gz,0.0013003391,0.0010347601,0.0004654994,0.0009335329
patient109_frame10.nii.gz,0.0015549063,0.0011740762,0.00156551,0.0014314974
patient110_frame01.nii.gz,0.0002586775,0.0009042975,0.00035271115,0.0005052287
patient110_frame11.nii.gz,0.0018033662,0.0010204589,0.00033737582,0.0010537336
patient111_frame01.nii.gz,0.0010407519,0.0008244654,0.0013489889,0.001071402
patient111_frame07.nii.gz,0.0007391406,0.001469434,0.0003111755,0.00083991676
patient112_frame01.nii.gz,0.0008379025,0.002045024,0.00076234026,0.001215089
patient112_frame12.nii.gz,0.0013561357,0.0024584779,0.0012278787,0.0016808308
patient113_frame01.nii.gz,0.0006525552,0.0021385932,0.00069063844,0.0011605956
patient113_frame08.nii.gz,0.0024480321,0.0014271862,0.00043920515,0.0014381412
patient114_frame01.nii.gz,0.0023728048,0.0036613808,0.0017726636,0.0026022831
patient114_frame11.nii.gz,0.002301914,0.0032742822,0.0010781892,0.0022181284
patient115_frame01.nii.gz,0.0005124908,0.0022901772,0.0011591392,0.0013206024
patient115_frame13.nii.gz,0.0018800497,0.0017609454,0.0011103513,0.0015837821
patient116_frame01.nii.gz,0.0014875974,0.002310633,0.0013676552,0.0017219619
patient116_frame09.nii.gz,0.0013031969,0.0009680244,0.0004444778,0.000905233
patient117_frame01.nii.gz,0.0019477443,0.0027147166,0.0011430823,0.0019351809
patient117_frame13.nii.gz,0.0023630492,0.0036820075,0.001569395,0.0025381504
patient118_frame01.nii.gz,0.00029601975,0.00092280534,0.0002679235,0.0004955829
patient118_frame10.nii.gz,0.0019379668,0.00038382463,0.00017970502,0.00083383213
patient119_frame01.nii.gz,0.0010428644,0.0007834163,0.0002730505,0.0006997771
patient119_frame09.nii.gz,0.0015454261,0.00078089617,0.00015261999,0.0008263141
patient120_frame01.nii.gz,0.0011103585,0.0019672322,0.0010779474,0.0013851793
patient120_frame08.nii.gz,0.00083834125,0.0018074616,0.00041931728,0.0010217067
patient121_frame01.nii.gz,0.0008132517,0.0008912518,0.00032078035,0.0006750946
patient121_frame10.nii.gz,0.002089714,0.001289625,0.00096157123,0.0014469702
patient122_frame01.nii.gz,0.0006792712,0.0015788772,0.0006995811,0.0009859098
patient122_frame06.nii.gz,0.00071372814,0.0020138528,0.0005542991,0.00109396
patient123_frame01.nii.gz,0.0028909757,0.0021991038,0.0018818924,0.0023239905
patient123_frame11.nii.gz,0.0013568134,0.0015379511,0.0012794496,0.0013914047
patient124_frame01.nii.gz,0.0006210375,0.00060567603,0.00076544075,0.00066405145
patient124_frame07.nii.gz,0.0044855746,0.00089270825,0.0003306386,0.0019029737
patient125_frame01.nii.gz,0.00045780235,0.0009875915,0.00030236566,0.00058258645
patient125_frame07.nii.gz,0.0015972878,0.00033232893,6.544675e-05,0.0006650212
patient126_frame01.nii.gz,0.00122601,0.00032056245,0.00012776609,0.0005581128
patient126_frame07.nii.gz,0.00084886566,0.0002414034,8.810313e-05,0.00039279074
patient127_frame01.nii.gz,0.0032574858,0.00069613813,0.00020688633,0.0013868368
patient127_frame07.nii.gz,0.002565886,0.00047221757,0.00053874386,0.0011922824
patient128_frame01.nii.gz,0.00036942007,0.0012740698,0.0005683912,0.0007372936
patient128_frame11.nii.gz,0.00093543937,0.0022406832,0.0010634027,0.001413175
patient129_frame01.nii.gz,0.0017694812,0.0022928186,0.0014215604,0.0018279534
