filename,class0,class1,class2,mean
patient101_frame01.nii.gz,0.91784656,0.8349016,0.96069705,0.9044817
patient101_frame14.nii.gz,0.89071804,0.8230717,0.9481307,0.88730687
patient102_frame01.nii.gz,0.8910903,0.81281406,0.9333851,0.8790965
patient102_frame13.nii.gz,0.89547795,0.8662806,0.82558894,0.86244917
patient103_frame01.nii.gz,0.7622838,0.8398345,0.93441886,0.8455124
patient103_frame11.nii.gz,0.5639374,0.82462865,0.90903085,0.7658656
patient104_frame01.nii.gz,0.8258391,0.8247508,0.92781526,0.8594684
patient104_frame11.nii.gz,0.8181103,0.89274895,0.80442804,0.83842915
patient105_frame01.nii.gz,0.94040465,0.8642442,0.92664754,0.91043216
patient105_frame10.nii.gz,0.8579019,0.8916664,0.748722,0.83276343
patient106_frame01.nii.gz,0.95033234,0.7891083,0.9566655,0.8987021
patient106_frame13.nii.gz,0.9338228,0.751143,0.9446761,0.87654734
patient107_frame01.nii.gz,0.8673664,0.77167034,0.95178586,0.86360747
patient107_frame10.nii.gz,0.73721826,0.83627814,0.92036694,0.8312878
patient108_frame01.nii.gz,0.9318728,0.86798096,0.9496885,0.9165141
patient108_frame09.nii.gz,0.83080536,0.8751201,0.79188937,0.83260494
patient109_frame01.nii.gz,0.92830634,0.8014287,0.95024025,0.8933251
patient109_frame10.nii.gz,0.86950314,0.8311859,0.8608539,0.8538477
patient110_frame01.nii.gz,0.9292362,0.82657737,0.9401084,0.89864063
patient110_frame11.nii.gz,0.81313074,0.88443303,0.8843131,0.86062557
patient111_frame01.nii.gz,0.7781889,0.832016,0.90863067,0.8396118
patient111_frame07.nii.gz,0.7983033,0.91382384,0.89283943,0.8683222
patient112_frame01.nii.gz,0.9413192,0.8322584,0.95341593,0.90899783
patient112_frame12.nii.gz,0.88240063,0.85799336,0.925499,0.88863105
patient113_frame01.nii.gz,0.94750917,0.84911317,0.9682959,0.9216394
patient113_frame08.nii.gz,0.87976617,0.86251724,0.95706886,0.8997841
patient114_frame01.nii.gz,0.8604626,0.8910849,0.9229803,0.8915093
patient114_frame11.nii.gz,0.72260994,0.8931892,0.84012735,0.81864214
patient115_frame01.nii.gz,0.95085084,0.85048676,0.9631132,0.9214836
patient115_frame13.nii.gz,0.91088015,0.89025104,0.9403231,0.9138181
patient116_frame01.nii.gz,0.8659237,0.8419088,0.91909564,0.8756428
patient116_frame09.nii.gz,0.7776889,0.89837503,0.9012018,0.8590886
patient117_frame01.nii.gz,0.9206034,0.85206026,0.9703066,0.9143234
patient117_frame13.nii.gz,0.87176913,0.87786794,0.96271163,0.9041162
patient118_frame01.nii.gz,0.9517034,0.8964487,0.96446,0.9375374
patient118_frame10.nii.gz,0.816818,0.9198154,0.95901734,0.8985503
patient119_frame01.nii.gz,0.947263,0.7898894,0.9536295,0.8969273
patient119_frame09.nii.gz,0.9066667,0.8738961,0.93511087,0.90522456
patient120_frame01.nii.gz,0.8772609,0.81685656,0.9270767,0.87373143
patient120_frame08.nii.gz,0.7900175,0.8516097,0.92313945,0.85492224
patient121_frame01.nii.gz,0.92516357,0.79904515,0.9438325,0.8893471
patient121_frame10.nii.gz,0.8527722,0.8372589,0.82753795,0.8391897
patient122_frame01.nii.gz,0.9223651,0.861391,0.9619571,0.9152377
patient122_frame06.nii.gz,0.8697344,0.8712436,0.94524294,0.89540696
patient123_frame01.nii.gz,0.8337564,0.7877668,0.8796644,0.8337292
patient123_frame11.nii.gz,0.8400277,0.87668467,0.78287935,0.8331973
patient124_frame01.nii.gz,0.92678946,0.8093523,0.92351186,0.8865512
patient124_frame07.nii.gz,0.8226007,0.8601407,0.88943064,0.8573907
patient125_frame01.nii.gz,0.9472676,0.81344265,0.95387644,0.9048622
patient125_frame07.nii.gz,0.82300586,0.8743662,0.93197405,0.8764487
patient126_frame01.nii.gz,0.879824,0.77597517,0.9481038,0.8679676
patient126_frame07.nii.gz,0.90360546,0.83506083,0.9300367,0.8895677
patient127_frame01.nii.gz,0.8931616,0.8218812,0.94456005,0.8865343
patient127_frame07.nii.gz,0.85290235,0.8873886,0.92065173,0.88698083
patient128_frame01.nii.gz,0.9466724,0.7974064,0.949143,0.8977406
patient128_frame11.nii.gz,0.9173897,0.8493014,0.87806714,0.8815861
patient129_frame01.nii.gz,0.87187296,0.6953967,0.9231229,0.8301309
patient129_frame08.nii.gz,0.86593693,0.7453963,0.8755265,0.82895327
patient130_frame01.nii.gz,0.9561082,0.8765036,0.9694494,0.93402034
patient130_frame11.nii.gz,0.8884677,0.8921286,0.906523,0.8957064
patient131_frame01.nii.gz,0.903691,0.81355006,0.9607045,0.8926485
patient131_frame09.nii.gz,0.8425312,0.83674216,0.9588408,0.8793714
patient132_frame01.nii.gz,0.949428,0.8623834,0.9687202,0.9268439
patient132_frame15.nii.gz,0.92782986,0.85743386,0.96358496,0.9162829
patient133_frame01.nii.gz,0.9218201,0.79550886,0.96052593,0.89261836
patient133_frame10.nii.gz,0.8919363,0.7934578,0.9462835,0.8772259
patient134_frame01.nii.gz,0.8820415,0.85323715,0.89758986,0.87762284
patient134_frame15.nii.gz,0.82742196,0.8804314,0.7895277,0.83246034
patient135_frame01.nii.gz,0.8899723,0.81692797,0.9584747,0.8884583
patient135_frame10.nii.gz,0.78572667,0.84925234,0.9499597,0.86164623
patient136_frame01.nii.gz,0.9036534,0.84010696,0.9656366,0.90313226
patient136_frame12.nii.gz,0.8707447,0.8519131,0.9352911,0.885983
patient137_frame01.nii.gz,0.8987532,0.81809324,0.9327781,0.8832082
patient137_frame11.nii.gz,0.88197434,0.8426754,0.9186637,0.88110447
patient138_frame01.nii.gz,0.9054377,0.8953175,0.9333574,0.91137093
patient138_frame10.nii.gz,0.8737885,0.9311038,0.8448801,0.88325745
patient139_frame01.nii.gz,0.9535725,0.79384214,0.9518816,0.89976543
patient139_frame08.nii.gz,0.91638595,0.8686689,0.8862655,0.89044017
patient140_frame01.nii.gz,0.9291707,0.7671441,0.94498795,0.8804343
patient140_frame09.nii.gz,0.8768843,0.8382452,0.8810875,0.8654056
patient141_frame01.nii.gz,0.95853996,0.8339658,0.9269372,0.90648097
patient141_frame11.nii.gz,0.9210132,0.86826134,0.8058905,0.865055
patient142_frame01.nii.gz,0.77801526,0.6312236,0.8122518,0.7404969
patient142_frame12.nii.gz,0.6949729,0.7040912,0.68945396,0.6961727
patient143_frame01.nii.gz,0.9280037,0.84643674,0.9427324,0.9057243
patient143_frame12.nii.gz,0.8608284,0.873866,0.9510368,0.8952438
patient144_frame01.nii.gz,0.8369426,0.81633294,0.94287634,0.8653839
patient144_frame09.nii.gz,0.8305678,0.8635266,0.83980465,0.84463304
patient145_frame01.nii.gz,0.8728296,0.83597034,0.9172171,0.87533903
patient145_frame13.nii.gz,0.83722705,0.8513445,0.90800864,0.86552674
patient146_frame01.nii.gz,0.9341558,0.89545554,0.9580291,0.92921346
patient146_frame10.nii.gz,0.84925276,0.9165275,0.8253506,0.8637102
patient147_frame01.nii.gz,0.90275615,0.83792645,0.94286245,0.89451504
patient147_frame09.nii.gz,0.89302236,0.8896361,0.84945124,0.8773699
patient148_frame01.nii.gz,0.9056281,0.8294762,0.9441612,0.8930885
patient148_frame10.nii.gz,0.88228863,0.85995895,0.9194497,0.8872325
patient149_frame01.nii.gz,0.90340024,0.87133366,0.9707195,0.9151511
patient149_frame12.nii.gz,0.82017577,0.8950003,0.95495933,0.89004517
patient150_frame01.nii.gz,0.9440956,0.85661894,0.9603925,0.92036897
patient150_frame12.nii.gz,0.7998563,0.87461615,0.83994836,0.83814025
