filename,class0,class1,class2,mean
patient101_frame01.nii.gz,0.91646945,0.83397204,0.9603765,0.903606
patient101_frame14.nii.gz,0.8914541,0.82331383,0.9480215,0.8875964
patient102_frame01.nii.gz,0.895231,0.8105678,0.93183804,0.8792123
patient102_frame13.nii.gz,0.89594215,0.8613992,0.8131211,0.8568208
patient103_frame01.nii.gz,0.76578027,0.839239,0.93538165,0.8468003
patient103_frame11.nii.gz,0.5467546,0.8214796,0.9073275,0.75852054
patient104_frame01.nii.gz,0.82477766,0.82615453,0.92911965,0.8600173
patient104_frame11.nii.gz,0.8153636,0.89319146,0.801483,0.8366793
patient105_frame01.nii.gz,0.94053745,0.8655248,0.9278781,0.9113135
patient105_frame10.nii.gz,0.8556884,0.8917144,0.7474715,0.83162475
patient106_frame01.nii.gz,0.9503233,0.79041815,0.9567313,0.8991576
patient106_frame13.nii.gz,0.93866444,0.7495908,0.9448176,0.877691
patient107_frame01.nii.gz,0.87354404,0.7730648,0.9518805,0.8661631
patient107_frame10.nii.gz,0.735451,0.83504605,0.9204944,0.83033043
patient108_frame01.nii.gz,0.93436974,0.86833954,0.949755,0.9174881
patient108_frame09.nii.gz,0.8195802,0.87528205,0.7942516,0.8297046
patient109_frame01.nii.gz,0.92834127,0.8018766,0.9505847,0.8936009
patient109_frame10.nii.gz,0.8694515,0.83040595,0.8609346,0.85359734
patient110_frame01.nii.gz,0.92896336,0.8258245,0.9393534,0.89804715
patient110_frame11.nii.gz,0.8132449,0.88329875,0.88187635,0.8594734
patient111_frame01.nii.gz,0.7758929,0.83110034,0.9102689,0.8390873
patient111_frame07.nii.gz,0.80398846,0.9123289,0.89281464,0.8697107
patient112_frame01.nii.gz,0.9422144,0.8312193,0.9533848,0.90893954
patient112_frame12.nii.gz,0.87916285,0.85929203,0.92585534,0.8881034
patient113_frame01.nii.gz,0.94790274,0.84832823,0.96834344,0.9215248
patient113_frame08.nii.gz,0.87931615,0.8642175,0.9578055,0.9004464
patient114_frame01.nii.gz,0.86247027,0.8912863,0.9230219,0.8922594
patient114_frame11.nii.gz,0.71536016,0.8954467,0.83793277,0.81624657
patient115_frame01.nii.gz,0.9510372,0.85011584,0.9631034,0.92141885
patient115_frame13.nii.gz,0.9097985,0.891411,0.94198203,0.9143972
patient116_frame01.nii.gz,0.86982447,0.8414117,0.9207062,0.87731415
patient116_frame09.nii.gz,0.77098864,0.89710224,0.9007016,0.8562641
patient117_frame01.nii.gz,0.91939294,0.8505437,0.9699379,0.91329145
patient117_frame13.nii.gz,0.8711842,0.8770777,0.9626771,0.9036463
patient118_frame01.nii.gz,0.95207477,0.8974511,0.96455806,0.93802804
patient118_frame10.nii.gz,0.818152,0.92114824,0.95945626,0.8995855
patient119_frame01.nii.gz,0.9498536,0.78852445,0.95324147,0.8972065
patient119_frame09.nii.gz,0.90673935,0.872635,0.9338863,0.9044202
patient120_frame01.nii.gz,0.87776726,0.8171611,0.9275302,0.8741529
patient120_frame08.nii.gz,0.78919095,0.8537702,0.9227414,0.85523415
patient121_frame01.nii.gz,0.9258064,0.798555,0.9436378,0.88933307
patient121_frame10.nii.gz,0.8533269,0.83743304,0.827544,0.8394346
patient122_frame01.nii.gz,0.92320484,0.86031604,0.9618705,0.91513044
patient122_frame06.nii.gz,0.86591274,0.87148666,0.94508785,0.8941624
patient123_frame01.nii.gz,0.83914185,0.78486234,0.8788753,0.8342931
patient123_frame11.nii.gz,0.8395655,0.87550426,0.780594,0.8318879
patient124_frame01.nii.gz,0.9261433,0.8074113,0.9230431,0.88553256
patient124_frame07.nii.gz,0.82221067,0.8583059,0.8849162,0.8551442
patient125_frame01.nii.gz,0.9462804,0.81416243,0.9545434,0.90499544
patient125_frame07.nii.gz,0.82027966,0.8737623,0.9326923,0.8755781
patient126_frame01.nii.gz,0.88539404,0.7766804,0.9477263,0.8699336
patient126_frame07.nii.gz,0.90460813,0.8343536,0.92960536,0.8895224
patient127_frame01.nii.gz,0.8896118,0.821538,0.94945574,0.8868685
patient127_frame07.nii.gz,0.8507987,0.8879916,0.92137295,0.8867211
patient128_frame01.nii.gz,0.94942313,0.798425,0.94954467,0.899131
patient128_frame11.nii.gz,0.9188195,0.8454041,0.87576985,0.8799978
patient129_frame01.nii.gz,0.8716396,0.6968527,0.92425835,0.8309169
patient129_frame08.nii.gz,0.8662308,0.7422753,0.8758479,0.828118
patient130_frame01.nii.gz,0.956324,0.87742823,0.9696457,0.93446594
patient130_frame11.nii.gz,0.8853394,0.8938399,0.90769434,0.8956246
patient131_frame01.nii.gz,0.9016058,0.8116455,0.9598008,0.8910174
patient131_frame09.nii.gz,0.83979696,0.83529073,0.95878565,0.8779578
patient132_frame01.nii.gz,0.94872797,0.86345166,0.96904594,0.92707515
patient132_frame15.nii.gz,0.92755085,0.8591425,0.96449715,0.9170635
patient133_frame01.nii.gz,0.92284566,0.79130536,0.9599892,0.8913801
patient133_frame10.nii.gz,0.88987917,0.79062176,0.946037,0.87551266
patient134_frame01.nii.gz,0.8817816,0.8528642,0.89553005,0.87672526
patient134_frame15.nii.gz,0.8241473,0.88068545,0.78745717,0.83076334
patient135_frame01.nii.gz,0.88922185,0.8134048,0.9574875,0.88670474
patient135_frame10.nii.gz,0.7823401,0.8465054,0.9487063,0.85918397
patient136_frame01.nii.gz,0.9049189,0.84061825,0.9659541,0.90383047
patient136_frame12.nii.gz,0.8699889,0.851754,0.9352819,0.88567495
patient137_frame01.nii.gz,0.90393674,0.81625056,0.9319978,0.88406163
patient137_frame11.nii.gz,0.8821991,0.8430387,0.916974,0.8807373
patient138_frame01.nii.gz,0.90435773,0.8944321,0.93365633,0.9108154
patient138_frame10.nii.gz,0.8700882,0.9293657,0.83554554,0.87833315
patient139_frame01.nii.gz,0.954498,0.7945094,0.9521633,0.9003902
patient139_frame08.nii.gz,0.913951,0.86910725,0.8885318,0.89052993
patient140_frame01.nii.gz,0.93481815,0.7685144,0.94519645,0.882843
patient140_frame09.nii.gz,0.8814363,0.8393302,0.8802245,0.866997
patient141_frame01.nii.gz,0.9584439,0.8319529,0.9262316,0.90554285
patient141_frame11.nii.gz,0.91775,0.8673472,0.80500776,0.8633683
patient142_frame01.nii.gz,0.7798344,0.62861115,0.814186,0.74087715
patient142_frame12.nii.gz,0.6900746,0.69980234,0.69229704,0.694058
patient143_frame01.nii.gz,0.9267926,0.8461155,0.9430726,0.9053269
patient143_frame12.nii.gz,0.8629219,0.87442017,0.9511069,0.89614964
patient144_frame01.nii.gz,0.838943,0.8188804,0.94400615,0.8672765
patient144_frame09.nii.gz,0.82387686,0.8636642,0.8403639,0.842635
patient145_frame01.nii.gz,0.87150997,0.8367322,0.91779685,0.87534636
patient145_frame13.nii.gz,0.8357246,0.8504553,0.90867156,0.8649505
patient146_frame01.nii.gz,0.9334263,0.89477086,0.95791876,0.9287054
patient146_frame10.nii.gz,0.8451552,0.9176578,0.8288469,0.8638866
patient147_frame01.nii.gz,0.9068006,0.8370785,0.95019126,0.8980234
patient147_frame09.nii.gz,0.8924588,0.88981116,0.8518365,0.8780355
patient148_frame01.nii.gz,0.90799016,0.82691175,0.943052,0.8926513
patient148_frame10.nii.gz,0.8843786,0.8574658,0.91904056,0.88696164
patient149_frame01.nii.gz,0.901627,0.8711417,0.97101283,0.9145939
patient149_frame12.nii.gz,0.8208539,0.89631385,0.9538579,0.89034194
patient150_frame01.nii.gz,0.94690204,0.8561123,0.96082574,0.92127997
patient150_frame12.nii.gz,0.80191934,0.8732903,0.83972657,0.8383121
