filename,class0,class1,class2,mean
patient101_frame01.nii.gz,0.9240701,0.8304418,0.95959914,0.9047036
patient101_frame14.nii.gz,0.8217574,0.8275739,0.9502821,0.8665378
patient102_frame01.nii.gz,0.9014838,0.85567546,0.9554936,0.90421766
patient102_frame13.nii.gz,0.8783624,0.8854486,0.85008025,0.87129706
patient103_frame01.nii.gz,0.716867,0.85073984,0.941094,0.8362336
patient103_frame11.nii.gz,0.6255684,0.862802,0.9268092,0.8050599
patient104_frame01.nii.gz,0.85125244,0.827386,0.93555737,0.8713986
patient104_frame11.nii.gz,0.79405266,0.89956796,0.80815965,0.83392674
patient105_frame01.nii.gz,0.9459613,0.8644549,0.9281187,0.91284496
patient105_frame10.nii.gz,0.8570265,0.88720614,0.74072355,0.8283188
patient106_frame01.nii.gz,0.945601,0.77292395,0.95200986,0.89017826
patient106_frame13.nii.gz,0.9298225,0.75935364,0.9439754,0.8777172
patient107_frame01.nii.gz,0.8810448,0.77421665,0.9536079,0.8696232
patient107_frame10.nii.gz,0.77483684,0.8379373,0.9192959,0.8440234
patient108_frame01.nii.gz,0.91572213,0.8651859,0.95443153,0.9117799
patient108_frame09.nii.gz,0.8081633,0.87282157,0.7326013,0.8045287
patient109_frame01.nii.gz,0.93605906,0.80864406,0.9532084,0.89930385
patient109_frame10.nii.gz,0.87162405,0.82967204,0.87596196,0.85908604
patient110_frame01.nii.gz,0.9363314,0.8254231,0.942113,0.90128917
patient110_frame11.nii.gz,0.8026836,0.891987,0.8902594,0.8616433
patient111_frame01.nii.gz,0.8186401,0.8472695,0.9133502,0.8597533
patient111_frame07.nii.gz,0.85546947,0.9188439,0.89308804,0.8891339
patient112_frame01.nii.gz,0.9381956,0.8202372,0.9518342,0.90342236
patient112_frame12.nii.gz,0.8874667,0.8401937,0.9256636,0.8844414
patient113_frame01.nii.gz,0.9418074,0.84315103,0.96821404,0.91772413
patient113_frame08.nii.gz,0.89287007,0.85850126,0.9588635,0.9034116
patient114_frame01.nii.gz,0.8768998,0.8827776,0.9184632,0.89271355
patient114_frame11.nii.gz,0.7568175,0.90628624,0.83748466,0.8335295
patient115_frame01.nii.gz,0.9492609,0.8574955,0.9616363,0.9227975
patient115_frame13.nii.gz,0.90888965,0.88779545,0.9444394,0.9137082
patient116_frame01.nii.gz,0.8824215,0.8599667,0.9414737,0.89462066
patient116_frame09.nii.gz,0.75166154,0.9036921,0.90236175,0.8525718
patient117_frame01.nii.gz,0.928273,0.8509445,0.9704602,0.9165592
patient117_frame13.nii.gz,0.8413103,0.8795734,0.96460396,0.8951626
patient118_frame01.nii.gz,0.94762194,0.8850141,0.9605055,0.9310472
patient118_frame10.nii.gz,0.821118,0.9115553,0.9569738,0.89654905
patient119_frame01.nii.gz,0.96207947,0.8016726,0.9565578,0.90676993
patient119_frame09.nii.gz,0.9022162,0.86977214,0.9296239,0.90053743
patient120_frame01.nii.gz,0.8668485,0.81241167,0.9232589,0.8675063
patient120_frame08.nii.gz,0.8091968,0.8545489,0.9151557,0.85963374
patient121_frame01.nii.gz,0.93069243,0.80396515,0.94468296,0.89311343
patient121_frame10.nii.gz,0.8427125,0.84739125,0.851467,0.8471902
patient122_frame01.nii.gz,0.92512465,0.8573702,0.95982087,0.91410524
patient122_frame06.nii.gz,0.88762057,0.86157686,0.9375946,0.8955974
patient123_frame01.nii.gz,0.84338206,0.7903804,0.88087213,0.83821154
patient123_frame11.nii.gz,0.8846366,0.8822438,0.80884385,0.8585747
patient124_frame01.nii.gz,0.9295722,0.7856518,0.919706,0.87831
patient124_frame07.nii.gz,0.84354824,0.8568229,0.8628489,0.85440665
patient125_frame01.nii.gz,0.94806623,0.7915316,0.9488576,0.8961518
patient125_frame07.nii.gz,0.8539825,0.87010515,0.93084943,0.88497907
patient126_frame01.nii.gz,0.938366,0.7885445,0.9546245,0.893845
patient126_frame07.nii.gz,0.916827,0.84500116,0.9241916,0.89533997
patient127_frame01.nii.gz,0.87382114,0.8199661,0.9551423,0.88297653
patient127_frame07.nii.gz,0.86286825,0.8765448,0.9082963,0.8825698
patient128_frame01.nii.gz,0.9505316,0.82108533,0.9562396,0.90928555
patient128_frame11.nii.gz,0.9169526,0.84108824,0.8857836,0.8812749
patient129_frame01.nii.gz,0.9013229,0.67920953,0.9165521,0.8323615
patient129_frame08.nii.gz,0.8929755,0.7339759,0.87519735,0.83404964
patient130_frame01.nii.gz,0.9519799,0.8719351,0.97023714,0.9313841
patient130_frame11.nii.gz,0.87180805,0.90037143,0.93040365,0.900861
patient131_frame01.nii.gz,0.9047252,0.80858016,0.9611839,0.8914964
patient131_frame09.nii.gz,0.85862267,0.8340262,0.96077937,0.8844761
patient132_frame01.nii.gz,0.9510278,0.8595889,0.96832037,0.9263124
patient132_frame15.nii.gz,0.9255814,0.85923535,0.96695894,0.91725856
patient133_frame01.nii.gz,0.9211234,0.79994917,0.9534794,0.89151734
patient133_frame10.nii.gz,0.89511955,0.7982106,0.9481071,0.8804791
patient134_frame01.nii.gz,0.88403416,0.8488039,0.89360887,0.8754823
patient134_frame15.nii.gz,0.8313017,0.87569404,0.7706113,0.825869
patient135_frame01.nii.gz,0.9021585,0.8250041,0.9604642,0.89587563
patient135_frame10.nii.gz,0.79935217,0.84002084,0.9475373,0.86230344
patient136_frame01.nii.gz,0.9338832,0.84231687,0.96561295,0.9139376
patient136_frame12.nii.gz,0.8942914,0.8519856,0.943261,0.8965127
patient137_frame01.nii.gz,0.91013706,0.8405996,0.9361653,0.895634
patient137_frame11.nii.gz,0.8754256,0.858414,0.9214347,0.88509136
patient138_frame01.nii.gz,0.9106603,0.90191036,0.9402609,0.91761047
patient138_frame10.nii.gz,0.86545897,0.9334588,0.84328246,0.88073343
patient139_frame01.nii.gz,0.94848025,0.7967128,0.9502928,0.89849526
patient139_frame08.nii.gz,0.91056585,0.86486185,0.87516546,0.8835311
patient140_frame01.nii.gz,0.93839747,0.7582552,0.9404185,0.87902373
patient140_frame09.nii.gz,0.8911718,0.8403616,0.859615,0.8637161
patient141_frame01.nii.gz,0.95387095,0.85103935,0.93703544,0.9139819
patient141_frame11.nii.gz,0.91722393,0.86042035,0.7886567,0.85543364
patient142_frame01.nii.gz,0.79640496,0.62998784,0.79270047,0.73969775
patient142_frame12.nii.gz,0.7102861,0.7644424,0.6921749,0.7223012
patient143_frame01.nii.gz,0.9316358,0.8434911,0.9445134,0.9065468
patient143_frame12.nii.gz,0.8719176,0.8610392,0.94517297,0.89271
patient144_frame01.nii.gz,0.80704856,0.85771555,0.95940477,0.87472296
patient144_frame09.nii.gz,0.8525415,0.86799526,0.8555501,0.85869557
patient145_frame01.nii.gz,0.8699462,0.84732676,0.9209845,0.87941915
patient145_frame13.nii.gz,0.86830574,0.8595491,0.9171906,0.88168186
patient146_frame01.nii.gz,0.93391454,0.8882498,0.95848966,0.92688465
patient146_frame10.nii.gz,0.8468887,0.9245093,0.8596063,0.87700146
patient147_frame01.nii.gz,0.9008875,0.83950067,0.9377811,0.8927231
patient147_frame09.nii.gz,0.89032495,0.89260983,0.86408854,0.8823411
patient148_frame01.nii.gz,0.92340547,0.83711874,0.94542325,0.9019825
patient148_frame10.nii.gz,0.89403087,0.86304814,0.92293805,0.893339
patient149_frame01.nii.gz,0.88271874,0.8835302,0.9717724,0.9126738
patient149_frame12.nii.gz,0.8163004,0.8908128,0.9564516,0.887855
patient150_frame01.nii.gz,0.9499848,0.8641558,0.9613705,0.92517036
patient150_frame12.nii.gz,0.8099249,0.876505,0.8478738,0.84476787
