filename,class0,class1,class2,mean
patient101_frame01.nii.gz,0.9018804,0.7957523,0.95245,0.88336086
patient101_frame14.nii.gz,0.8707308,0.80797493,0.94750106,0.8754023
patient102_frame01.nii.gz,0.8563673,0.825301,0.9461917,0.8759534
patient102_frame13.nii.gz,0.8851861,0.86759204,0.83790416,0.86356074
patient103_frame01.nii.gz,0.74253136,0.8278642,0.9323904,0.83426195
patient103_frame11.nii.gz,0.49569008,0.8393126,0.8999012,0.74496794
patient104_frame01.nii.gz,0.80634636,0.82166386,0.9354155,0.85447526
patient104_frame11.nii.gz,0.78452873,0.8829969,0.8030205,0.8235154
patient105_frame01.nii.gz,0.94186383,0.84997725,0.9259743,0.90593845
patient105_frame10.nii.gz,0.8243412,0.8658038,0.7052712,0.7984721
patient106_frame01.nii.gz,0.9482527,0.7604096,0.9458927,0.88485163
patient106_frame13.nii.gz,0.9315309,0.72539335,0.93337864,0.8634343
patient107_frame01.nii.gz,0.8897318,0.76969784,0.9497387,0.8697228
patient107_frame10.nii.gz,0.75372225,0.8437188,0.9097616,0.8357342
patient108_frame01.nii.gz,0.9104629,0.84151024,0.9428187,0.89826393
patient108_frame09.nii.gz,0.7821368,0.8792982,0.8375196,0.83298486
patient109_frame01.nii.gz,0.93507487,0.82403505,0.95773894,0.9056163
patient109_frame10.nii.gz,0.88033426,0.8248425,0.8691805,0.8581191
patient110_frame01.nii.gz,0.9022576,0.81064487,0.93348527,0.88212925
patient110_frame11.nii.gz,0.8175526,0.8778902,0.87590456,0.8571158
patient111_frame01.nii.gz,0.7838689,0.83199257,0.90571797,0.8405264
patient111_frame07.nii.gz,0.75251174,0.914949,0.8883127,0.8519244
patient112_frame01.nii.gz,0.92734224,0.8180244,0.94165546,0.895674
patient112_frame12.nii.gz,0.8760368,0.84365356,0.9258893,0.88185984
patient113_frame01.nii.gz,0.94103307,0.82673144,0.9659613,0.91124195
patient113_frame08.nii.gz,0.88585377,0.84113526,0.94992524,0.8923047
patient114_frame01.nii.gz,0.8745402,0.881764,0.9211962,0.89250016
patient114_frame11.nii.gz,0.70684683,0.9032966,0.8206228,0.81025535
patient115_frame01.nii.gz,0.9400438,0.8389114,0.9593526,0.9127693
patient115_frame13.nii.gz,0.901289,0.8714739,0.9401806,0.9043145
patient116_frame01.nii.gz,0.8725228,0.8429947,0.93041945,0.881979
patient116_frame09.nii.gz,0.77646357,0.8865462,0.895664,0.85289127
patient117_frame01.nii.gz,0.91725844,0.82524824,0.96476495,0.90242386
patient117_frame13.nii.gz,0.8425581,0.8633493,0.9563269,0.8874114
patient118_frame01.nii.gz,0.936032,0.87251216,0.95480734,0.9211171
patient118_frame10.nii.gz,0.80898577,0.89689523,0.94922954,0.8850369
patient119_frame01.nii.gz,0.9416741,0.77734303,0.9499892,0.88966876
patient119_frame09.nii.gz,0.89071393,0.85045767,0.9232546,0.8881421
patient120_frame01.nii.gz,0.8721689,0.7926002,0.90686256,0.8572106
patient120_frame08.nii.gz,0.7414799,0.8451218,0.9075606,0.83138746
patient121_frame01.nii.gz,0.9339672,0.80989414,0.9429891,0.8956168
patient121_frame10.nii.gz,0.8857148,0.8526365,0.8403412,0.8595641
patient122_frame01.nii.gz,0.9172441,0.83978033,0.9563054,0.90444326
patient122_frame06.nii.gz,0.8704698,0.8661295,0.94516075,0.89392
patient123_frame01.nii.gz,0.87295604,0.782384,0.8745831,0.8433077
patient123_frame11.nii.gz,0.8469266,0.87603575,0.79629487,0.83975244
patient124_frame01.nii.gz,0.91867995,0.7421008,0.89070207,0.8504942
patient124_frame07.nii.gz,0.8293466,0.83771527,0.865323,0.8441283
patient125_frame01.nii.gz,0.94416183,0.7851539,0.94788617,0.8924007
patient125_frame07.nii.gz,0.83825,0.8494096,0.8921372,0.85993224
patient126_frame01.nii.gz,0.93877614,0.7725458,0.93342733,0.88158303
patient126_frame07.nii.gz,0.9185288,0.8343023,0.91031826,0.8877165
patient127_frame01.nii.gz,0.89316857,0.80371976,0.94074315,0.8792105
patient127_frame07.nii.gz,0.863407,0.8664438,0.9053843,0.8784117
patient128_frame01.nii.gz,0.94472915,0.7929223,0.9504972,0.89604956
patient128_frame11.nii.gz,0.9063918,0.8291572,0.85939115,0.86498004
patient129_frame01.nii.gz,0.87695855,0.6450231,0.9001369,0.80737287
patient129_frame08.nii.gz,0.85929585,0.7030783,0.83972615,0.8007001
patient130_frame01.nii.gz,0.94852036,0.85892045,0.9654188,0.92428654
patient130_frame11.nii.gz,0.8621921,0.8842081,0.90428513,0.8835618
patient131_frame01.nii.gz,0.89929515,0.7876369,0.9546853,0.8805391
patient131_frame09.nii.gz,0.8637789,0.8163502,0.952974,0.87770104
patient132_frame01.nii.gz,0.9534024,0.85036665,0.96661454,0.9234612
patient132_frame15.nii.gz,0.9290076,0.8468903,0.9617696,0.9125559
patient133_frame01.nii.gz,0.92528915,0.78917134,0.9507494,0.88840324
patient133_frame10.nii.gz,0.8783182,0.7957367,0.945547,0.8732006
patient134_frame01.nii.gz,0.8568673,0.84657145,0.90083486,0.86809117
