filename,class0,class1,class2,mean
patient101_frame01.nii.gz,0.90871847,0.8242166,0.95731115,0.8967487
patient101_frame14.nii.gz,0.8417557,0.81905395,0.95082754,0.8705457
patient102_frame01.nii.gz,0.86953443,0.855467,0.9557906,0.89359736
patient102_frame13.nii.gz,0.91110605,0.8752371,0.82572263,0.8706886
patient103_frame01.nii.gz,0.7522004,0.8590275,0.94722754,0.8528185
patient103_frame11.nii.gz,0.6331098,0.85504556,0.92288035,0.8036786
patient104_frame01.nii.gz,0.807499,0.81037563,0.9210301,0.84630156
patient104_frame11.nii.gz,0.8102716,0.89347935,0.7993586,0.83436984
patient105_frame01.nii.gz,0.94491506,0.8579533,0.92838275,0.9104171
patient105_frame10.nii.gz,0.85543394,0.8758919,0.73463887,0.8219883
patient106_frame01.nii.gz,0.95121676,0.78201586,0.95475066,0.8959944
patient106_frame13.nii.gz,0.9400927,0.7543568,0.942031,0.8788268
patient107_frame01.nii.gz,0.87290376,0.77215827,0.9502077,0.8650899
patient107_frame10.nii.gz,0.7756284,0.83422,0.91411453,0.841321
patient108_frame01.nii.gz,0.9113239,0.8602292,0.95132536,0.90762615
patient108_frame09.nii.gz,0.8462132,0.86526644,0.76609325,0.82585764
patient109_frame01.nii.gz,0.9415581,0.82268214,0.9557854,0.90667516
patient109_frame10.nii.gz,0.88127327,0.83873665,0.8746841,0.864898
patient110_frame01.nii.gz,0.93896866,0.8240148,0.94089425,0.90129256
patient110_frame11.nii.gz,0.8234546,0.886884,0.87454444,0.86162764
patient111_frame01.nii.gz,0.77490026,0.8392248,0.89647144,0.8368655
patient111_frame07.nii.gz,0.8130008,0.92046875,0.892652,0.87537384
patient112_frame01.nii.gz,0.93273544,0.8244529,0.9508799,0.9026894
patient112_frame12.nii.gz,0.8888303,0.84434867,0.9250319,0.88607025
patient113_frame01.nii.gz,0.9500916,0.8442216,0.9683662,0.92089313
patient113_frame08.nii.gz,0.89301485,0.85226035,0.9542878,0.89985436
patient114_frame01.nii.gz,0.87102467,0.8896964,0.9201114,0.8936108
patient114_frame11.nii.gz,0.7016615,0.9035031,0.8489153,0.8180266
patient115_frame01.nii.gz,0.9468141,0.8523767,0.96134806,0.9201796
patient115_frame13.nii.gz,0.90551287,0.88318247,0.937154,0.9086165
patient116_frame01.nii.gz,0.86755836,0.8427377,0.9178325,0.87604284
patient116_frame09.nii.gz,0.76296777,0.9061462,0.90482736,0.85798043
patient117_frame01.nii.gz,0.918904,0.85037065,0.9704897,0.9132548
