filename,class0,class1,class2,mean
patient101_frame01.nii.gz,0.85849607,0.77386856,0.9394039,0.8572562
patient101_frame14.nii.gz,0.82085043,0.7770395,0.92430145,0.8407304
patient102_frame01.nii.gz,0.90211034,0.8524624,0.9470335,0.9005354
patient102_frame13.nii.gz,0.9070108,0.87981033,0.85746175,0.8814276
patient103_frame01.nii.gz,0.80373895,0.85472995,0.9462272,0.8682321
patient103_frame11.nii.gz,0.5124814,0.83837926,0.9184163,0.7564256
patient104_frame01.nii.gz,0.81661534,0.82203925,0.9357099,0.85812145
patient104_frame11.nii.gz,0.79286766,0.869501,0.70991117,0.79076
patient105_frame01.nii.gz,0.9253765,0.79452246,0.8784727,0.86612386
patient105_frame10.nii.gz,0.8100288,0.86104596,0.7543639,0.80847955
patient106_frame01.nii.gz,0.94610083,0.78452975,0.9575038,0.8960448
patient106_frame13.nii.gz,0.9076433,0.76457727,0.94492733,0.87238264
patient107_frame01.nii.gz,0.91138786,0.7897113,0.95752805,0.8862091
patient107_frame10.nii.gz,0.7428668,0.839311,0.87992716,0.82070166
patient108_frame01.nii.gz,0.8959829,0.8317959,0.9371803,0.8883197
patient108_frame09.nii.gz,0.79353744,0.83941144,0.7507517,0.79456687
patient109_frame01.nii.gz,0.95078254,0.854544,0.96571684,0.9236811
patient109_frame10.nii.gz,0.9197336,0.8731919,0.9017408,0.89822215
patient110_frame01.nii.gz,0.94236356,0.83376515,0.9377263,0.9046183
patient110_frame11.nii.gz,0.7853141,0.89183444,0.87855005,0.85189956
patient111_frame01.nii.gz,0.82696027,0.8693898,0.91252553,0.8696253
patient111_frame07.nii.gz,0.8751134,0.94032776,0.90600806,0.90714973
patient112_frame01.nii.gz,0.917722,0.789271,0.942261,0.8830846
patient112_frame12.nii.gz,0.8421214,0.7994025,0.8989235,0.84681576
patient113_frame01.nii.gz,0.94106793,0.82194924,0.96157765,0.9081983
patient113_frame08.nii.gz,0.8488125,0.8359144,0.95256007,0.87909573
patient114_frame01.nii.gz,0.83212805,0.8698105,0.9065899,0.8695095
patient114_frame11.nii.gz,0.7410521,0.89568585,0.8030334,0.81325716
patient115_frame01.nii.gz,0.93841845,0.8121156,0.9419055,0.89747983
patient115_frame13.nii.gz,0.85095763,0.84954846,0.91633254,0.8722796
patient116_frame01.nii.gz,0.86148936,0.8270365,0.9195036,0.8693432
patient116_frame09.nii.gz,0.71344614,0.8777993,0.88156927,0.8242715
patient117_frame01.nii.gz,0.9054105,0.8288627,0.96425927,0.89951086
patient117_frame13.nii.gz,0.80776054,0.8405064,0.94569945,0.8646555
patient118_frame01.nii.gz,0.942175,0.88731396,0.9605336,0.9300075
patient118_frame10.nii.gz,0.81213737,0.9094057,0.9537105,0.8917512
patient119_frame01.nii.gz,0.94932497,0.8072227,0.9580825,0.9048767
patient119_frame09.nii.gz,0.88908476,0.8748299,0.93481934,0.8995779
patient120_frame01.nii.gz,0.8577611,0.81537133,0.91580814,0.8629802
patient120_frame08.nii.gz,0.75259876,0.84876925,0.9087698,0.8367126
patient121_frame01.nii.gz,0.9419264,0.8386747,0.9587629,0.9131214
patient121_frame10.nii.gz,0.91503793,0.8758062,0.8687363,0.8865268
patient122_frame01.nii.gz,0.90340334,0.8484909,0.95855975,0.90348464
patient122_frame06.nii.gz,0.8593956,0.8575989,0.939573,0.88552254
patient123_frame01.nii.gz,0.8470114,0.7946221,0.8816886,0.84110737
patient123_frame11.nii.gz,0.8596865,0.8840553,0.7860329,0.8432582
patient124_frame01.nii.gz,0.92998177,0.7896908,0.91225666,0.87730974
patient124_frame07.nii.gz,0.7913025,0.84640205,0.87447,0.83739156
patient125_frame01.nii.gz,0.94263655,0.7923369,0.95125854,0.8954107
patient125_frame07.nii.gz,0.8309694,0.87462324,0.93514824,0.88024694
patient126_frame01.nii.gz,0.9402901,0.78810453,0.9462092,0.8915346
patient126_frame07.nii.gz,0.9267328,0.83656865,0.92667276,0.896658
patient127_frame01.nii.gz,0.8816711,0.82158697,0.95438784,0.88588196
patient127_frame07.nii.gz,0.858448,0.8815399,0.9235676,0.8878518
patient128_frame01.nii.gz,0.9501713,0.7964139,0.9476481,0.8980777
patient128_frame11.nii.gz,0.8795009,0.8358728,0.8800982,0.8651573
patient129_frame01.nii.gz,0.88045275,0.6961519,0.92111385,0.83257276
patient129_frame08.nii.gz,0.8763178,0.76300746,0.84628016,0.82853514
patient130_frame01.nii.gz,0.9429774,0.8486619,0.95862466,0.91675466
patient130_frame11.nii.gz,0.86199,0.8551136,0.87440574,0.86383647
patient131_frame01.nii.gz,0.905249,0.78941923,0.9561049,0.883591
patient131_frame09.nii.gz,0.8548535,0.8205566,0.955749,0.877053
patient132_frame01.nii.gz,0.9531162,0.846521,0.9613127,0.92031664
patient132_frame15.nii.gz,0.93086547,0.8534913,0.9602891,0.914882
patient133_frame01.nii.gz,0.8909242,0.78890705,0.95403355,0.87795496
patient133_frame10.nii.gz,0.8220038,0.8003864,0.9467384,0.85637623
patient134_frame01.nii.gz,0.893792,0.8473594,0.911622,0.8842578
patient134_frame15.nii.gz,0.82924896,0.8644529,0.7875573,0.8270864
patient135_frame01.nii.gz,0.86505586,0.81592643,0.9546452,0.8785425
patient135_frame10.nii.gz,0.7769323,0.8308198,0.9429978,0.85024995
patient136_frame01.nii.gz,0.8760305,0.7779258,0.9452381,0.86639816
patient136_frame12.nii.gz,0.8500723,0.80370194,0.91920763,0.8576606
patient137_frame01.nii.gz,0.88695484,0.8333879,0.94017214,0.88683826
patient137_frame11.nii.gz,0.8546956,0.85799915,0.9188839,0.8771929
patient138_frame01.nii.gz,0.9172056,0.8921895,0.92998534,0.91312677
patient138_frame10.nii.gz,0.84518254,0.92392755,0.7735299,0.84754664
patient139_frame01.nii.gz,0.932612,0.8018721,0.95102715,0.8951704
patient139_frame08.nii.gz,0.90135914,0.8583642,0.892249,0.88399076
patient140_frame01.nii.gz,0.93482554,0.7530278,0.93767154,0.875175
patient140_frame09.nii.gz,0.885925,0.8291364,0.8823598,0.86580706
patient141_frame01.nii.gz,0.9563659,0.82103413,0.90084815,0.89274937
patient141_frame11.nii.gz,0.92705005,0.8226848,0.77405703,0.84126395
patient142_frame01.nii.gz,0.80629754,0.69594544,0.8485897,0.7836109
patient142_frame12.nii.gz,0.62323713,0.7634886,0.6858445,0.6908567
patient143_frame01.nii.gz,0.88167346,0.7693149,0.9217944,0.85759425
patient143_frame12.nii.gz,0.8161755,0.8060627,0.9262938,0.84951067
patient144_frame01.nii.gz,0.8406133,0.8683924,0.9613003,0.89010197
patient144_frame09.nii.gz,0.83637184,0.87476957,0.8579431,0.85636145
patient145_frame01.nii.gz,0.88725054,0.8416622,0.9181259,0.8823462
patient145_frame13.nii.gz,0.7678951,0.84006315,0.898417,0.83545846
patient146_frame01.nii.gz,0.91710985,0.894055,0.9578814,0.9230154
patient146_frame10.nii.gz,0.8441663,0.91681266,0.8724605,0.87781316
patient147_frame01.nii.gz,0.8905428,0.8415137,0.8900312,0.8740292
patient147_frame09.nii.gz,0.82174134,0.8895878,0.7207218,0.81068367
patient148_frame01.nii.gz,0.9306332,0.83423024,0.94726616,0.9040432
patient148_frame10.nii.gz,0.9139528,0.8694432,0.92698836,0.90346146
patient149_frame01.nii.gz,0.8902092,0.841655,0.95952684,0.8971303
patient149_frame12.nii.gz,0.7851618,0.86591053,0.92038786,0.8571534
patient150_frame01.nii.gz,0.9483205,0.8768183,0.96158546,0.9289081
patient150_frame12.nii.gz,0.8412624,0.8733716,0.843086,0.85257334
