filename,class0,class1,class2,mean
patient101_frame01.nii.gz,0.8482115,0.7812551,0.9425655,0.8573441
patient101_frame14.nii.gz,0.79989815,0.794404,0.9318117,0.842038
patient102_frame01.nii.gz,0.9269196,0.83940667,0.94690496,0.90441036
patient102_frame13.nii.gz,0.88746417,0.8665604,0.83519316,0.8630726
patient103_frame01.nii.gz,0.78972167,0.8521571,0.94629306,0.862724
patient103_frame11.nii.gz,0.5687896,0.85009,0.9265294,0.78180295
patient104_frame01.nii.gz,0.82705134,0.8364969,0.93099004,0.86484605
patient104_frame11.nii.gz,0.77920234,0.876017,0.72526205,0.79349375
patient105_frame01.nii.gz,0.93955165,0.8054299,0.8843479,0.87644315
patient105_frame10.nii.gz,0.8262519,0.8560966,0.7322927,0.8048804
patient106_frame01.nii.gz,0.9493459,0.7960423,0.9579232,0.9011038
patient106_frame13.nii.gz,0.9432618,0.77430904,0.94712573,0.8882322
patient107_frame01.nii.gz,0.93063974,0.7934262,0.9592558,0.89444065
patient107_frame10.nii.gz,0.8183308,0.8485495,0.9008168,0.85589904
patient108_frame01.nii.gz,0.904824,0.8292734,0.9306556,0.888251
patient108_frame09.nii.gz,0.8349567,0.8526031,0.7323738,0.8066445
patient109_frame01.nii.gz,0.93834984,0.843134,0.9605621,0.9140153
patient109_frame10.nii.gz,0.9110039,0.8597441,0.8826526,0.8844668
patient110_frame01.nii.gz,0.94682014,0.8345846,0.9427844,0.9080631
patient110_frame11.nii.gz,0.8193229,0.88624847,0.87422,0.8599305
patient111_frame01.nii.gz,0.85381806,0.85896736,0.9121935,0.874993
patient111_frame07.nii.gz,0.87083936,0.9371132,0.9023229,0.9034252
patient112_frame01.nii.gz,0.9266631,0.7978996,0.94252414,0.88902897
patient112_frame12.nii.gz,0.8599476,0.80658466,0.8888513,0.85179454
patient113_frame01.nii.gz,0.9370074,0.82642514,0.9620421,0.90849155
patient113_frame08.nii.gz,0.8226245,0.8578586,0.95901275,0.87983197
patient114_frame01.nii.gz,0.78565204,0.87285155,0.91567904,0.85806084
patient114_frame11.nii.gz,0.7546488,0.899593,0.8364519,0.8302312
patient115_frame01.nii.gz,0.942916,0.8248326,0.94383025,0.9038596
patient115_frame13.nii.gz,0.8485899,0.8587433,0.9109519,0.8727617
patient116_frame01.nii.gz,0.8774803,0.81260365,0.9004601,0.8635147
patient116_frame09.nii.gz,0.70606583,0.8774997,0.878974,0.8208465
patient117_frame01.nii.gz,0.88237864,0.7967583,0.9556534,0.8782635
patient117_frame13.nii.gz,0.8249305,0.82383436,0.9371482,0.8619711
patient118_frame01.nii.gz,0.94646883,0.8907115,0.9629999,0.9333934
patient118_frame10.nii.gz,0.8247886,0.9123316,0.95441604,0.8971787
patient119_frame01.nii.gz,0.94634265,0.8026843,0.9572696,0.9020989
patient119_frame09.nii.gz,0.8747063,0.87129676,0.92930454,0.89176923
patient120_frame01.nii.gz,0.82848334,0.8086327,0.9243242,0.8538134
patient120_frame08.nii.gz,0.7703692,0.8473519,0.92507386,0.8475983
patient121_frame01.nii.gz,0.9454386,0.841947,0.95871925,0.9153683
patient121_frame10.nii.gz,0.89697045,0.87863296,0.85397,0.87652445
patient122_frame01.nii.gz,0.9094296,0.8457162,0.95611614,0.903754
patient122_frame06.nii.gz,0.83689564,0.854125,0.94085455,0.87729174
patient123_frame01.nii.gz,0.8318014,0.7934297,0.8807588,0.83532995
patient123_frame11.nii.gz,0.84951794,0.8869488,0.7749863,0.83715105
patient124_frame01.nii.gz,0.9373454,0.812239,0.9239926,0.8911924
patient124_frame07.nii.gz,0.84439,0.85802,0.8819268,0.8614456
patient125_frame01.nii.gz,0.9504986,0.816586,0.9582521,0.90844554
patient125_frame07.nii.gz,0.8520851,0.8864205,0.9423757,0.8936271
patient126_frame01.nii.gz,0.9373667,0.7909254,0.9560304,0.8947742
patient126_frame07.nii.gz,0.9020913,0.8302195,0.87908363,0.8704648
patient127_frame01.nii.gz,0.8977419,0.8165277,0.9554235,0.88989764
patient127_frame07.nii.gz,0.8403105,0.88100535,0.9232576,0.8815245
patient128_frame01.nii.gz,0.94391376,0.7975245,0.9485353,0.8966579
patient128_frame11.nii.gz,0.8978556,0.8459965,0.88063157,0.87482786
patient129_frame01.nii.gz,0.86233836,0.71050197,0.919509,0.8307831
patient129_frame08.nii.gz,0.8452769,0.75049067,0.851503,0.8157568
patient130_frame01.nii.gz,0.93755794,0.8501791,0.9592941,0.9156771
patient130_frame11.nii.gz,0.8621991,0.8659987,0.8692282,0.86580867
patient131_frame01.nii.gz,0.90319824,0.8009429,0.95952976,0.88789034
patient131_frame09.nii.gz,0.81660455,0.8338279,0.959748,0.87006015
patient132_frame01.nii.gz,0.9458018,0.8566891,0.9649447,0.9224785
patient132_frame15.nii.gz,0.9197966,0.86419505,0.966344,0.91677856
patient133_frame01.nii.gz,0.8893044,0.7825162,0.9516335,0.8744847
patient133_frame10.nii.gz,0.83674496,0.7807627,0.94292974,0.85347915
patient134_frame01.nii.gz,0.89925104,0.8488786,0.90102595,0.8830519
patient134_frame15.nii.gz,0.85341144,0.8653047,0.7691838,0.8293
patient135_frame01.nii.gz,0.88537866,0.807811,0.9526551,0.88194823
patient135_frame10.nii.gz,0.7983268,0.816191,0.93807393,0.85086393
patient136_frame01.nii.gz,0.8748746,0.79826903,0.94839,0.87384456
patient136_frame12.nii.gz,0.8597897,0.81046456,0.9035195,0.85792464
patient137_frame01.nii.gz,0.8897823,0.8208233,0.94337016,0.8846586
patient137_frame11.nii.gz,0.8658182,0.8569358,0.9198267,0.88086027
patient138_frame01.nii.gz,0.9083653,0.88955903,0.9337162,0.9105468
patient138_frame10.nii.gz,0.81408495,0.9169486,0.8120602,0.8476979
patient139_frame01.nii.gz,0.94616866,0.8085928,0.9528287,0.90253
patient139_frame08.nii.gz,0.9192666,0.87898016,0.9258598,0.9080355
patient140_frame01.nii.gz,0.93180555,0.768233,0.94204736,0.88069534
patient140_frame09.nii.gz,0.8821985,0.83800584,0.87378716,0.86466384
patient141_frame01.nii.gz,0.9348707,0.78980654,0.89237714,0.87235147
patient141_frame11.nii.gz,0.89677376,0.82469976,0.7698398,0.8304377
patient142_frame01.nii.gz,0.75173086,0.6774884,0.86841774,0.765879
patient142_frame12.nii.gz,0.633168,0.7435807,0.63648087,0.67107654
patient143_frame01.nii.gz,0.88656956,0.79201216,0.9283672,0.868983
patient143_frame12.nii.gz,0.8580634,0.8205802,0.9233695,0.8673377
patient144_frame01.nii.gz,0.82458687,0.85387635,0.95828736,0.8789169
patient144_frame09.nii.gz,0.8344123,0.87110054,0.83285886,0.8461239
patient145_frame01.nii.gz,0.8582138,0.8251932,0.9106876,0.86469823
patient145_frame13.nii.gz,0.79513776,0.84229374,0.9039629,0.8471315
patient146_frame01.nii.gz,0.91672,0.89523774,0.9583274,0.92342836
patient146_frame10.nii.gz,0.83940536,0.9016223,0.840081,0.8603695
patient147_frame01.nii.gz,0.93640655,0.86298907,0.9561034,0.91849965
patient147_frame09.nii.gz,0.86967814,0.8999326,0.87286013,0.8808236
patient148_frame01.nii.gz,0.9191604,0.8358513,0.94835377,0.90112185
patient148_frame10.nii.gz,0.8987232,0.8725707,0.9213953,0.89756304
patient149_frame01.nii.gz,0.90243614,0.8463595,0.9602462,0.90301394
patient149_frame12.nii.gz,0.7376709,0.8643167,0.9117537,0.83791375
patient150_frame01.nii.gz,0.9445675,0.85536045,0.9590407,0.9196562
patient150_frame12.nii.gz,0.82043797,0.87009096,0.8606696,0.8503995
