filename,class0,class1,class2,mean
patient101_frame01.nii.gz,0.83304006,0.75677437,0.94391775,0.8445774
patient101_frame14.nii.gz,0.85576236,0.77592635,0.9217689,0.8511526
patient102_frame01.nii.gz,0.86551327,0.82035804,0.9381565,0.8746759
patient102_frame13.nii.gz,0.7804938,0.864755,0.8329277,0.82605886
patient103_frame01.nii.gz,0.7499915,0.8382116,0.9393944,0.84253246
patient103_frame11.nii.gz,0.16670597,0.7988071,0.861231,0.6089147
patient104_frame01.nii.gz,0.80476284,0.7996138,0.9168133,0.84039664
patient104_frame11.nii.gz,0.71942925,0.8590354,0.63469523,0.73771995
patient105_frame01.nii.gz,0.90928394,0.79137725,0.87887377,0.859845
patient105_frame10.nii.gz,0.82934946,0.8780684,0.7968525,0.8347568
patient106_frame01.nii.gz,0.9386936,0.73321456,0.94068295,0.8708637
patient106_frame13.nii.gz,0.9254682,0.72155005,0.93306845,0.8600289
patient107_frame01.nii.gz,0.8963077,0.7627394,0.9487937,0.8692803
patient107_frame10.nii.gz,0.73329777,0.803097,0.8793805,0.80525845
patient108_frame01.nii.gz,0.86306995,0.7938484,0.9098317,0.85558337
patient108_frame09.nii.gz,0.708587,0.8776933,0.8490364,0.8117723
patient109_frame01.nii.gz,0.9274862,0.82467675,0.9582129,0.9034586
patient109_frame10.nii.gz,0.8878054,0.8378886,0.879799,0.86849767
patient110_frame01.nii.gz,0.9157355,0.79715616,0.92727727,0.8800563
patient110_frame11.nii.gz,0.75905496,0.8631567,0.86750656,0.82990605
patient111_frame01.nii.gz,0.7484547,0.81106406,0.89998466,0.8198345
patient111_frame07.nii.gz,0.81036186,0.9130476,0.90143836,0.8749493
patient112_frame01.nii.gz,0.88890177,0.7919893,0.93328404,0.8713917
patient112_frame12.nii.gz,0.814436,0.7904171,0.8999684,0.8349405
patient113_frame01.nii.gz,0.9297432,0.8135973,0.96046954,0.90127
patient113_frame08.nii.gz,0.85413224,0.81350434,0.94373095,0.8704559
patient114_frame01.nii.gz,0.79364085,0.8680934,0.9101704,0.85730153
patient114_frame11.nii.gz,0.74499136,0.8807556,0.78764755,0.8044648
patient115_frame01.nii.gz,0.9376916,0.80347735,0.94409555,0.8950882
patient115_frame13.nii.gz,0.8768031,0.8448421,0.92008114,0.8805754
patient116_frame01.nii.gz,0.8403024,0.81861895,0.92323023,0.86071724
patient116_frame09.nii.gz,0.7560873,0.8633101,0.87840754,0.8326016
patient117_frame01.nii.gz,0.89559615,0.8025339,0.9606084,0.8862462
patient117_frame13.nii.gz,0.83143574,0.8388684,0.9462639,0.87218934
patient118_frame01.nii.gz,0.9100289,0.84752643,0.9408181,0.89945775
patient118_frame10.nii.gz,0.80181545,0.85886174,0.9268649,0.862514
patient119_frame01.nii.gz,0.946268,0.75417614,0.9412654,0.8805699
patient119_frame09.nii.gz,0.8604193,0.85348994,0.9056106,0.87317324
patient120_frame01.nii.gz,0.8044605,0.7848108,0.9098171,0.83302945
patient120_frame08.nii.gz,0.6984477,0.8233906,0.8898272,0.8038885
patient121_frame01.nii.gz,0.93566346,0.8262245,0.94960827,0.90383214
patient121_frame10.nii.gz,0.82817537,0.87539274,0.87204933,0.8585391
patient122_frame01.nii.gz,0.9082156,0.825105,0.9462613,0.89319396
patient122_frame06.nii.gz,0.83121556,0.8357716,0.93047863,0.8658219
patient123_frame01.nii.gz,0.8346066,0.7767142,0.873205,0.82817525
patient123_frame11.nii.gz,0.839522,0.87894595,0.7892738,0.8359139
patient124_frame01.nii.gz,0.9097281,0.7214965,0.8880209,0.83974856
patient124_frame07.nii.gz,0.78390175,0.802534,0.7805238,0.7889865
patient125_frame01.nii.gz,0.90247035,0.7553684,0.94368136,0.8671734
patient125_frame07.nii.gz,0.74676543,0.85291296,0.9070339,0.8355708
