filename,class0,class1,class2,mean
patient101_frame01.nii.gz,0.90821826,0.8142422,0.95535576,0.8926055
patient101_frame14.nii.gz,0.8650503,0.8199842,0.9477644,0.87759966
patient102_frame01.nii.gz,0.86074156,0.8385678,0.94543326,0.8815808
patient102_frame13.nii.gz,0.8822245,0.8605622,0.8139951,0.8522606
patient103_frame01.nii.gz,0.7009562,0.8407704,0.9378959,0.82654077
patient103_frame11.nii.gz,0.3798976,0.8379794,0.908821,0.7088993
patient104_frame01.nii.gz,0.81557524,0.8282818,0.9333455,0.8590675
patient104_frame11.nii.gz,0.81890005,0.8900211,0.790115,0.8330121
patient105_frame01.nii.gz,0.9373381,0.84852445,0.92349344,0.90311867
patient105_frame10.nii.gz,0.81931317,0.8721238,0.7603465,0.81726116
patient106_frame01.nii.gz,0.9435319,0.75660145,0.945682,0.88193846
patient106_frame13.nii.gz,0.9267697,0.7513538,0.94151044,0.8732113
patient107_frame01.nii.gz,0.88724774,0.7698911,0.9545806,0.8705731
patient107_frame10.nii.gz,0.7618136,0.8269463,0.9068157,0.8318586
patient108_frame01.nii.gz,0.8788491,0.84203434,0.94228333,0.88772225
patient108_frame09.nii.gz,0.78007203,0.87104046,0.8382653,0.8297927
patient109_frame01.nii.gz,0.9223809,0.823013,0.9589823,0.90145874
patient109_frame10.nii.gz,0.91487247,0.8243662,0.8693806,0.86953974
patient110_frame01.nii.gz,0.92417574,0.81185204,0.9326131,0.88954693
patient110_frame11.nii.gz,0.8209166,0.88273233,0.8835817,0.86241025
patient111_frame01.nii.gz,0.7540273,0.8339675,0.87191564,0.81997013
patient111_frame07.nii.gz,0.8324901,0.9237982,0.89342225,0.8832369
patient112_frame01.nii.gz,0.91777986,0.8231266,0.95152,0.8974755
patient112_frame12.nii.gz,0.88816327,0.822035,0.91789067,0.8760297
patient113_frame01.nii.gz,0.9368015,0.83353317,0.96607316,0.9121359
patient113_frame08.nii.gz,0.8647281,0.83912545,0.9510201,0.88495797
patient114_frame01.nii.gz,0.8643231,0.8860149,0.92157483,0.8906376
patient114_frame11.nii.gz,0.7665659,0.9123179,0.85583526,0.84490633
patient115_frame01.nii.gz,0.9362247,0.85173017,0.96127886,0.9164112
patient115_frame13.nii.gz,0.9042068,0.87608016,0.93374646,0.90467787
patient116_frame01.nii.gz,0.8982253,0.8506016,0.9353348,0.89472055
patient116_frame09.nii.gz,0.77717745,0.90007645,0.89130837,0.8561874
patient117_frame01.nii.gz,0.9131852,0.83473885,0.96639013,0.9047714
patient117_frame13.nii.gz,0.85339963,0.8644735,0.9581233,0.89199877
patient118_frame01.nii.gz,0.9257913,0.8644943,0.95234483,0.91421014
patient118_frame10.nii.gz,0.80260307,0.884288,0.94348615,0.87679243
patient119_frame01.nii.gz,0.9574612,0.7830857,0.95333016,0.89795905
patient119_frame09.nii.gz,0.9000225,0.85906,0.9192306,0.89277107
patient120_frame01.nii.gz,0.87499493,0.79402214,0.9138768,0.8609646
patient120_frame08.nii.gz,0.7649903,0.84116274,0.9059416,0.83736485
patient121_frame01.nii.gz,0.940986,0.81049025,0.9433246,0.898267
