filename,class0,class1,class2,mean
patient101_frame01.nii.gz,0.8884003,0.804067,0.9515266,0.88133126
patient101_frame14.nii.gz,0.85530096,0.80706185,0.9260911,0.86281794
patient102_frame01.nii.gz,0.87684184,0.8405767,0.9450142,0.8874776
patient102_frame13.nii.gz,0.8829302,0.85860986,0.8338592,0.85846645
patient103_frame01.nii.gz,0.75154406,0.8376962,0.9391625,0.8428009
patient103_frame11.nii.gz,0.36035466,0.84446573,0.9010962,0.7019722
patient104_frame01.nii.gz,0.8005451,0.8087092,0.9315813,0.8469452
patient104_frame11.nii.gz,0.7947536,0.8779356,0.7752496,0.81597966
patient105_frame01.nii.gz,0.9335389,0.84957063,0.9227399,0.9019498
patient105_frame10.nii.gz,0.7978736,0.88026667,0.7955153,0.8245519
patient106_frame01.nii.gz,0.9444223,0.7489916,0.9485514,0.8806551
patient106_frame13.nii.gz,0.9315617,0.7433015,0.9440102,0.87295777
patient107_frame01.nii.gz,0.8868177,0.75429773,0.9503614,0.8638256
patient107_frame10.nii.gz,0.7678187,0.8298377,0.92149514,0.83971715
patient108_frame01.nii.gz,0.90823257,0.8346918,0.93503994,0.89265484
patient108_frame09.nii.gz,0.7856341,0.8684943,0.795692,0.81660676
patient109_frame01.nii.gz,0.9300391,0.80730426,0.95846546,0.89860296
patient109_frame10.nii.gz,0.89924026,0.8296655,0.87111527,0.86667365
patient110_frame01.nii.gz,0.91175693,0.807831,0.9310484,0.8835454
patient110_frame11.nii.gz,0.795956,0.88579625,0.8898509,0.85720104
patient111_frame01.nii.gz,0.7607431,0.81640273,0.87479633,0.8173141
patient111_frame07.nii.gz,0.82155824,0.91821486,0.87962395,0.8731323
patient112_frame01.nii.gz,0.9312312,0.8134726,0.94641864,0.89704084
patient112_frame12.nii.gz,0.89702255,0.82061994,0.91081285,0.8761518
patient113_frame01.nii.gz,0.93327636,0.8367434,0.9672495,0.91242313
patient113_frame08.nii.gz,0.86569625,0.8398579,0.9515328,0.88569564
patient114_frame01.nii.gz,0.8703586,0.8839194,0.9216656,0.8919812
patient114_frame11.nii.gz,0.7328117,0.90658605,0.839896,0.8264313
patient115_frame01.nii.gz,0.93350554,0.83981466,0.9581222,0.9104808
patient115_frame13.nii.gz,0.89970636,0.8689843,0.92855364,0.8990814
patient116_frame01.nii.gz,0.8652613,0.83715886,0.91133547,0.8712519
patient116_frame09.nii.gz,0.7827087,0.8891375,0.8757672,0.8492045
patient117_frame01.nii.gz,0.9152921,0.8261071,0.96555996,0.9023197
patient117_frame13.nii.gz,0.8636306,0.85860485,0.95620394,0.89281315
patient118_frame01.nii.gz,0.92762154,0.8575527,0.9475516,0.91090864
patient118_frame10.nii.gz,0.8001601,0.8757057,0.93707454,0.8709801
patient119_frame01.nii.gz,0.9498781,0.7875109,0.94955784,0.89564896
patient119_frame09.nii.gz,0.8847619,0.8630566,0.9159236,0.887914
patient120_frame01.nii.gz,0.8588868,0.79852265,0.9090805,0.85549664
patient120_frame08.nii.gz,0.754166,0.8438049,0.90368116,0.83388406
patient121_frame01.nii.gz,0.93794066,0.8049132,0.9444392,0.89576435
patient121_frame10.nii.gz,0.917199,0.8531976,0.83231723,0.8675713
patient122_frame01.nii.gz,0.9109624,0.84046614,0.9560041,0.90247756
patient122_frame06.nii.gz,0.85998064,0.8508204,0.9324663,0.88108915
patient123_frame01.nii.gz,0.8537115,0.78190386,0.8758173,0.8371442
patient123_frame11.nii.gz,0.85572445,0.86838853,0.7897299,0.8379476
patient124_frame01.nii.gz,0.91645753,0.7375935,0.9000593,0.8513701
patient124_frame07.nii.gz,0.825358,0.84610265,0.8768869,0.84944916
patient125_frame01.nii.gz,0.93946445,0.77976424,0.9526553,0.89062804
patient125_frame07.nii.gz,0.8431755,0.85642916,0.9246516,0.87475204
patient126_frame01.nii.gz,0.93376,0.77944016,0.9528714,0.8886905
patient126_frame07.nii.gz,0.9029841,0.8309577,0.9235013,0.88581437
patient127_frame01.nii.gz,0.8982464,0.8022955,0.94228697,0.880943
patient127_frame07.nii.gz,0.8413858,0.8729944,0.92941266,0.88126427
patient128_frame01.nii.gz,0.9327029,0.7949085,0.9494444,0.8923519
patient128_frame11.nii.gz,0.87211156,0.81726825,0.88048506,0.85662156
patient129_frame01.nii.gz,0.8657279,0.633869,0.8877246,0.7957738
patient129_frame08.nii.gz,0.81911623,0.72316694,0.8467178,0.7963336
patient130_frame01.nii.gz,0.9503206,0.85109985,0.96149296,0.92097116
patient130_frame11.nii.gz,0.8495142,0.8863385,0.91356695,0.8831399
patient131_frame01.nii.gz,0.9088923,0.7917314,0.95829827,0.8863073
patient131_frame09.nii.gz,0.8720226,0.8193693,0.9542624,0.88188475
patient132_frame01.nii.gz,0.94958955,0.85687375,0.96888566,0.9251163
patient132_frame15.nii.gz,0.9297323,0.85180026,0.9639134,0.9151487
patient133_frame01.nii.gz,0.91497594,0.7941923,0.9519956,0.8870546
patient133_frame10.nii.gz,0.86981136,0.78310406,0.9417518,0.8648891
patient134_frame01.nii.gz,0.8582564,0.8404476,0.8981005,0.86560154
patient134_frame15.nii.gz,0.7666923,0.8679397,0.76376843,0.7994668
patient135_frame01.nii.gz,0.90365225,0.8173242,0.95709103,0.89268917
patient135_frame10.nii.gz,0.8164637,0.822116,0.9463111,0.86163026
patient136_frame01.nii.gz,0.8952491,0.8236289,0.96173406,0.89353734
patient136_frame12.nii.gz,0.8783026,0.8326605,0.9297956,0.88025284
patient137_frame01.nii.gz,0.8945825,0.81297094,0.9326026,0.88005203
patient137_frame11.nii.gz,0.81919235,0.82748514,0.9204248,0.8557008
patient138_frame01.nii.gz,0.8944595,0.8941289,0.93272275,0.9071037
patient138_frame10.nii.gz,0.8651374,0.92951614,0.8617768,0.88547677
patient139_frame01.nii.gz,0.9179051,0.7968529,0.9507656,0.88850784
patient139_frame08.nii.gz,0.9032542,0.859531,0.9000282,0.8876045
patient140_frame01.nii.gz,0.9189548,0.7667339,0.939408,0.87503225
