filename,class0,class1,class2,mean
patient101_frame01.nii.gz,0.00055250246,0.000886879,0.0014737655,0.0009710489
patient101_frame14.nii.gz,0.00082143,0.00035400983,0.0015023786,0.0008926061
patient102_frame01.nii.gz,0.001030246,0.0014889587,0.00024565912,0.0009216213
patient102_frame13.nii.gz,0.00073829107,0.0012021754,0.00043556836,0.0007920116
patient103_frame01.nii.gz,0.0030391333,0.0014466705,0.0011286595,0.0018714877
patient103_frame11.nii.gz,0.0021227705,0.0022175252,0.000533786,0.001624694
patient104_frame01.nii.gz,0.0018094516,0.0014008502,0.0003310839,0.001180462
patient104_frame11.nii.gz,0.002131946,0.0007836929,0.0002384688,0.0010513692
patient105_frame01.nii.gz,0.0014557964,0.0014515287,0.00090041384,0.0012692463
patient105_frame10.nii.gz,0.0011252818,0.00070270326,0.0004248598,0.00075094827
patient106_frame01.nii.gz,0.0016912216,0.0009819694,0.0022075425,0.0016269112
patient106_frame13.nii.gz,0.0017987575,0.0013420251,0.0025607604,0.0019005142
patient107_frame01.nii.gz,0.0011875253,0.0015319852,0.0017611571,0.0014935558
patient107_frame10.nii.gz,0.0017873108,0.00031571073,0.0005363964,0.000879806
patient108_frame01.nii.gz,0.0013449744,0.000791767,0.00065582624,0.0009308558
patient108_frame09.nii.gz,0.0010625854,0.0014654875,0.00055311795,0.0010270636
patient109_frame01.nii.gz,0.0018161851,0.001652219,0.0006632559,0.0013772199
patient109_frame10.nii.gz,0.0037392117,0.00080661464,0.0018127045,0.0021195102
patient110_frame01.nii.gz,0.0021538406,0.00052383286,0.00030060636,0.00099276
patient110_frame11.nii.gz,0.0023378406,0.0007751626,0.0003072778,0.0011400937
patient111_frame01.nii.gz,0.003393723,0.002462351,0.002460205,0.0027720928
patient111_frame07.nii.gz,0.0018721962,0.0023029607,0.00085720106,0.0016774526
patient112_frame01.nii.gz,0.0013577596,0.0006311931,0.0005920753,0.0008603427
patient112_frame12.nii.gz,0.003575372,0.0017458115,0.0016203927,0.0023138588
patient113_frame01.nii.gz,0.0019637158,0.0019439838,0.0012799175,0.0017292057
patient113_frame08.nii.gz,0.0022840998,0.0026233254,0.0006468199,0.0018514151
patient114_frame01.nii.gz,0.0012922026,0.0036701679,0.0007698657,0.0019107455
patient114_frame11.nii.gz,0.002642874,0.0057816943,0.0007136379,0.0030460686
patient115_frame01.nii.gz,0.0013293137,0.00026251483,0.0005713613,0.0007210633
patient115_frame13.nii.gz,0.00046932412,0.00040641843,0.00040382135,0.0004265213
patient116_frame01.nii.gz,0.001693842,0.00097324117,0.0003020516,0.0009897116
patient116_frame09.nii.gz,0.0012098644,0.0006716913,0.0007797196,0.00088709174
patient117_frame01.nii.gz,0.0014628338,0.001692199,0.0010701225,0.0014083851
patient117_frame13.nii.gz,0.0050775395,0.0026493173,0.0013536569,0.0030268377
patient118_frame01.nii.gz,0.0007605049,0.001012049,0.000833988,0.0008688473
patient118_frame10.nii.gz,0.0008461895,0.0005082587,0.00030974604,0.0005547314
patient119_frame01.nii.gz,0.003124766,0.0012423944,0.0013988002,0.0019219868
patient119_frame09.nii.gz,0.0013372103,0.0010342909,0.00042851965,0.0009333403
patient120_frame01.nii.gz,0.0015687718,0.0020932234,0.000694354,0.0014521164
patient120_frame08.nii.gz,0.00074762164,0.0023376336,0.0007492534,0.0012781696
patient121_frame01.nii.gz,0.0013586689,0.00065378175,0.0009922882,0.0010015797
patient121_frame10.nii.gz,0.0017803974,0.00072546833,0.00061033067,0.0010387321
patient122_frame01.nii.gz,0.0009937637,0.00085840124,0.0019775569,0.001276574
patient122_frame06.nii.gz,0.0008485005,0.00085000816,0.00040089924,0.0006998026
patient123_frame01.nii.gz,0.0034475205,0.0017400339,0.0018881126,0.0023585556
patient123_frame11.nii.gz,0.00065755623,0.0008572572,0.0012495957,0.00092146965
patient124_frame01.nii.gz,0.0070509,0.004479488,0.0052338983,0.0055880956
patient124_frame07.nii.gz,0.005269593,0.0009878062,0.00066833466,0.002308578
patient125_frame01.nii.gz,0.0010032466,0.0023901989,0.0009824599,0.0014586352
patient125_frame07.nii.gz,0.00084144337,0.0012822932,0.0005869829,0.0009035731
patient126_frame01.nii.gz,0.006384364,0.0026101854,0.007949495,0.0056480146
patient126_frame07.nii.gz,0.0016883527,0.0008062047,0.00046617552,0.000986911
patient127_frame01.nii.gz,0.0036621739,0.00080538663,0.0011153833,0.0018609812
patient127_frame07.nii.gz,0.002151187,0.0017110622,0.0019173663,0.0019265385
patient128_frame01.nii.gz,0.0006529763,0.00088791415,0.0005745836,0.00070515805
patient128_frame11.nii.gz,0.000787671,0.0007729371,0.00060816883,0.00072292564
patient129_frame01.nii.gz,0.0021398272,0.0014586574,0.0015408663,0.001713117
patient129_frame08.nii.gz,0.0035261908,0.0021231074,0.0014675793,0.0023722926
patient130_frame01.nii.gz,0.0021820934,0.0013917232,0.00077174825,0.0014485217
patient130_frame11.nii.gz,0.0018520545,0.0005744466,0.00048611176,0.00097087095
patient131_frame01.nii.gz,0.0019593604,0.0011307285,0.0009750503,0.0013550464
patient131_frame09.nii.gz,0.0057040825,0.0011556937,0.00086703006,0.0025756021
patient132_frame01.nii.gz,0.0014004067,0.0014457081,0.000994187,0.0012801006
patient132_frame15.nii.gz,0.0011965963,0.0017127559,0.0006024554,0.0011706025
patient133_frame01.nii.gz,0.0018112889,0.00086375675,0.0010694441,0.0012481633
patient133_frame10.nii.gz,0.0029280132,0.0013628852,0.0009162196,0.001735706
patient134_frame01.nii.gz,0.0008083487,0.003393214,0.0017187739,0.0019734455
patient134_frame15.nii.gz,0.0013881073,0.0027580312,0.001950639,0.0020322592
