class,mean,median,max,min,90percentile,std,notnans
class0,0.0819,0.0717,0.3070,0.0170,0.1420,0.0483,100.0000
class1,0.0821,0.0717,0.3446,0.0198,0.1373,0.0477,100.0000
class2,0.0735,0.0719,0.1663,0.0158,0.1135,0.0338,100.0000
class3,0.1354,0.1027,0.4989,0.0289,0.2882,0.1074,100.0000
class4,0.0998,0.0922,0.2713,0.0322,0.1634,0.0489,100.0000
class5,0.0741,0.0687,0.2447,0.0149,0.1190,0.0400,100.0000
class6,0.1039,0.0866,0.4996,0.0208,0.1895,0.0745,100.0000
class7,0.0744,0.0686,0.2641,0.0183,0.1135,0.0379,100.0000
class8,0.0820,0.0769,0.2173,0.0185,0.1424,0.0425,100.0000
class9,0.0906,0.0794,0.3006,0.0224,0.1528,0.0503,100.0000
class10,0.1193,0.1047,0.4625,0.0482,0.1990,0.0638,100.0000
class11,0.1251,0.1027,0.4616,0.0328,0.2231,0.0785,100.0000
class12,0.1063,0.1007,0.4995,0.0211,0.1665,0.0630,100.0000
class13,0.1349,0.1209,0.4181,0.0000,0.2296,0.0817,100.0000
class14,0.1632,0.1360,0.5554,0.0000,0.2658,0.1023,100.0000
mean,0.1031,0.1009,0.1955,0.0612,0.1328,0.0240,100.0000
