class,mean,median,max,min,90percentile,std,notnans
class0,0.1777,0.1510,0.5595,0.0488,0.2869,0.0915,100.0000
class1,0.1774,0.1612,0.6697,0.0475,0.2851,0.0852,100.0000
class2,0.1637,0.1577,0.3617,0.0308,0.2512,0.0674,100.0000
class3,0.2899,0.2469,0.9860,0.0576,0.5123,0.1926,100.0000
class4,0.2424,0.2232,0.5816,0.0803,0.3569,0.0984,100.0000
class5,0.1563,0.1409,0.5090,0.0405,0.2683,0.0849,100.0000
class6,0.2145,0.1733,0.9936,0.0594,0.3577,0.1467,100.0000
class7,0.1647,0.1481,0.5853,0.0547,0.2597,0.0756,100.0000
class8,0.1821,0.1691,0.4778,0.0462,0.2984,0.0833,100.0000
class9,0.1952,0.1679,0.7164,0.0543,0.3175,0.1034,100.0000
class10,0.2940,0.2833,0.9249,0.1049,0.4407,0.1197,100.0000
class11,0.2843,0.2523,0.9088,0.0731,0.4597,0.1362,100.0000
class12,0.2248,0.2056,0.9883,0.0612,0.3671,0.1267,100.0000
class13,0.2799,0.2454,0.9876,0.0000,0.4895,0.1648,100.0000
class14,0.3268,0.3034,0.9657,0.0000,0.5332,0.1804,100.0000
mean,0.2249,0.2180,0.4086,0.1405,0.2793,0.0492,100.0000
