class,mean,median,max,min,90percentile,std,notnans
class0,0.0522,0.0522,0.0522,0.0522,0.0522,0.0000,1.0000
class1,0.0481,0.0481,0.0481,0.0481,0.0481,0.0000,1.0000
class2,0.0463,0.0463,0.0463,0.0463,0.0463,0.0000,1.0000
class3,0.1191,0.1191,0.1191,0.1191,0.1191,0.0000,1.0000
class4,0.0958,0.0958,0.0958,0.0958,0.0958,0.0000,1.0000
class5,0.1057,0.1057,0.1057,0.1057,0.1057,0.0000,1.0000
class6,0.1509,0.1509,0.1509,0.1509,0.1509,0.0000,1.0000
class7,0.0553,0.0553,0.0553,0.0553,0.0553,0.0000,1.0000
class8,0.0899,0.0899,0.0899,0.0899,0.0899,0.0000,1.0000
class9,0.1134,0.1134,0.1134,0.1134,0.1134,0.0000,1.0000
class10,0.0718,0.0718,0.0718,0.0718,0.0718,0.0000,1.0000
class11,0.0971,0.0971,0.0971,0.0971,0.0971,0.0000,1.0000
class12,0.1434,0.1434,0.1434,0.1434,0.1434,0.0000,1.0000
class13,0.1833,0.1833,0.1833,0.1833,0.1833,0.0000,1.0000
class14,0.1588,0.1588,0.1588,0.1588,0.1588,0.0000,1.0000
mean,0.1021,0.1021,0.1021,0.1021,0.1021,0.0000,1.0000
