class,mean,median,max,min,90percentile,std,notnans
class0,0.0059,0.0043,0.0384,0.0013,0.0100,0.0056,100.0000
class1,0.0004,0.0002,0.0060,0.0001,0.0008,0.0007,100.0000
class2,0.0003,0.0002,0.0022,0.0000,0.0004,0.0002,100.0000
class3,0.0003,0.0002,0.0028,0.0001,0.0005,0.0004,100.0000
class4,0.0008,0.0001,0.0576,0.0000,0.0006,0.0057,100.0000
class5,0.0003,0.0001,0.0120,0.0000,0.0004,0.0012,100.0000
class6,0.0016,0.0012,0.0136,0.0003,0.0026,0.0016,100.0000
class7,0.0046,0.0008,0.2348,0.0000,0.0045,0.0240,100.0000
class8,0.0018,0.0002,0.1265,0.0000,0.0007,0.0126,100.0000
class9,0.0004,0.0003,0.0014,0.0001,0.0006,0.0003,100.0000
class10,0.0007,0.0004,0.0076,0.0001,0.0011,0.0010,100.0000
class11,0.0001,0.0000,0.0006,0.0000,0.0001,0.0001,100.0000
class12,0.0001,0.0000,0.0006,0.0000,0.0001,0.0001,100.0000
class13,0.0010,0.0007,0.0092,0.0000,0.0023,0.0013,100.0000
class14,0.0010,0.0003,0.0188,0.0000,0.0014,0.0028,100.0000
class15,0.0008,0.0003,0.0159,0.0000,0.0022,0.0020,100.0000
mean,0.0013,0.0008,0.0163,0.0002,0.0020,0.0019,100.0000
