class,mean,median,max,min,90percentile,std,notnans
class0,0.1742,0.1495,0.5408,0.0342,0.2983,0.0906,100.0000
class1,0.1631,0.1436,0.5755,0.0583,0.2616,0.0852,100.0000
class2,0.1479,0.1361,0.3459,0.0313,0.2364,0.0588,100.0000
class3,0.3237,0.2669,0.9887,0.0676,0.6348,0.2029,100.0000
class4,0.2819,0.2517,0.5712,0.0831,0.4681,0.1206,100.0000
class5,0.1466,0.1324,0.3554,0.0324,0.2585,0.0772,100.0000
class6,0.2107,0.1748,0.9941,0.0557,0.3758,0.1413,100.0000
class7,0.1682,0.1665,0.5858,0.0407,0.2581,0.0747,100.0000
class8,0.1788,0.1599,0.4138,0.0617,0.2854,0.0807,100.0000
class9,0.2141,0.1845,0.5672,0.0638,0.3550,0.1045,100.0000
class10,0.3744,0.3532,0.8179,0.1723,0.5278,0.1182,100.0000
class11,0.3540,0.3400,0.8051,0.1485,0.5128,0.1092,100.0000
class12,0.2458,0.2262,0.9893,0.0715,0.3507,0.1260,100.0000
class13,0.2677,0.2453,0.9786,0.0000,0.4253,0.1418,100.0000
class14,0.3196,0.2758,0.9724,0.0000,0.5436,0.1726,100.0000
mean,0.2380,0.2335,0.4224,0.1570,0.3000,0.0537,100.0000
