filename,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,mean
amos_0008.nii.gz,0.95527184,0.9462567,0.9339077,0.82393557,0.77707773,0.9719945,0.90203995,0.9406411,0.8046689,0.8799517,0.7769284,0.75836885,0.75403327,0.947307,0.8527515,0.8683422
amos_0013.nii.gz,0.9521301,0.9472969,0.9417981,0.92451686,0.7866854,0.9740582,0.90421116,0.9413309,0.8730438,0.78253263,0.77887326,0.796875,0.67063993,0.9288042,0.64920837,0.8568003
amos_0018.nii.gz,0.97488326,0.9581258,0.96314114,0.90936637,0.8288226,0.9760572,0.93839306,0.9466951,0.87155145,0.82341105,0.72005296,0.75227505,0.7536819,0.9170878,0.83735824,0.8780602
amos_0022.nii.gz,0.9633773,0.95619184,0.95876825,0.8355374,0.87245375,0.9707746,0.9461777,0.94156355,0.8957492,0.85593337,0.7833197,0.795053,0.8248165,0.84570414,0.91023165,0.89037675
amos_0029.nii.gz,0.96513903,0.9685968,0.9698176,0.9362243,0.88301885,0.9831212,0.969608,0.9339577,0.92603016,0.88636225,0.87907183,0.8484087,0.79225796,0.965808,nan,0.9219588
amos_0032.nii.gz,0.972219,0.97110784,0.9704218,0.9344375,0.8804134,0.97625214,0.971531,0.9446711,0.9023276,0.90024364,0.8338028,0.84727275,0.87541425,0.94859713,0.8106973,0.9159606
amos_0034.nii.gz,0.9598399,0.9677526,0.95976174,0.7935385,0.81595933,0.96299726,0.76571447,0.9548837,0.82348424,0.7264533,0.61863744,0.6502463,0.6302295,0.74029547,0.8599661,0.8153173
amos_0040.nii.gz,0.9687905,0.94472384,0.9493354,0.6670074,0.79721534,0.9693162,0.9577117,0.84439385,0.81210226,0.83545065,0.70709145,0.7976783,0.8489819,0.6266704,0.6423279,0.8245865
amos_0041.nii.gz,0.95908564,0.9513352,0.94861156,0.4184178,0.79137176,0.9665176,0.8289562,0.90118384,0.84967023,0.7401676,0.6841187,0.5856967,0.6134484,0.92105526,0.646018,0.78704363
amos_0051.nii.gz,0.9427883,0.937228,0.9527094,0.7648562,0.7945127,0.9672389,0.87157005,0.94703174,0.8064122,0.8236951,0.78318584,0.6949891,0.7854126,0.79842335,0.8548024,0.84832376
amos_0056.nii.gz,0.9515834,0.9433299,0.93496287,nan,0.16340426,0.97363925,0.8608059,0.9407105,0.8276271,0.52748555,0.82225657,0.77896696,nan,0.96528625,0.8522122,0.8109439
amos_0061.nii.gz,0.9734428,0.9267849,0.9549113,0.93845963,0.81670535,0.9742707,0.9669714,0.92181474,0.9047525,0.84429127,0.6971831,0.68636364,0.8510136,0.9258962,0.89651924,0.88529205
amos_0063.nii.gz,0.9620509,0.95881927,0.9581891,0.8936954,0.8129911,0.96499085,0.9263119,0.9176874,0.87728477,0.86659306,0.72604066,0.7416174,0.7508566,0.57507825,0.88024706,0.8541636
amos_0070.nii.gz,0.96653455,0.9523463,0.92482114,nan,0.8415673,0.9776827,0.9704287,0.9456382,0.84977806,0.8956862,0.7580214,0.8413793,0.7982567,0.8148783,0.32695094,0.8474264
amos_0073.nii.gz,0.96879345,0.9655107,0.95891696,0.8824293,0.8701528,0.9756775,0.9514546,0.9439001,0.84844,0.85824406,0.833226,0.74067795,0.85768837,0.9082833,0.86255103,0.89506304
