class,mean,median,max,min,90percentile,std,notnans
class0,0.9692,0.9722,0.9884,0.8778,0.9854,0.0154,100.0000
class1,0.9628,0.9660,0.9846,0.8740,0.9789,0.0171,98.0000
class2,0.9644,0.9666,0.9848,0.9248,0.9788,0.0131,100.0000
class3,0.8366,0.9123,0.9771,0.0071,0.9564,0.2083,93.0000
class4,0.8360,0.8662,0.9569,0.1634,0.9228,0.1176,100.0000
class5,0.9746,0.9765,0.9906,0.8702,0.9862,0.0153,100.0000
class6,0.9154,0.9495,0.9830,0.3531,0.9706,0.1057,99.0000
class7,0.9498,0.9581,0.9779,0.5810,0.9730,0.0432,100.0000
class8,0.9099,0.9183,0.9644,0.7764,0.9515,0.0386,100.0000
class9,0.8548,0.8814,0.9397,0.3731,0.9257,0.0977,100.0000
class10,0.7644,0.7833,0.9207,0.1355,0.8792,0.1138,100.0000
class11,0.7870,0.7999,0.9444,0.2295,0.8849,0.1018,100.0000
class12,0.8200,0.8464,0.9385,0.0839,0.9178,0.1161,99.0000
class13,0.8788,0.9300,0.9860,0.0227,0.9745,0.1460,99.0000
class14,0.8295,0.8786,0.9586,0.0371,0.9395,0.1528,97.0000
mean,0.8837,0.8914,0.9487,0.7119,0.9309,0.0442,100.0000
