class,mean,median,max,min,90percentile,std,notnans
class0,0.1771,0.1486,0.5405,0.0569,0.3009,0.0921,100.0000
class1,0.1663,0.1520,0.6890,0.0375,0.2509,0.0816,100.0000
class2,0.1532,0.1429,0.3060,0.0563,0.2374,0.0597,100.0000
class3,0.3205,0.2604,0.9791,0.0632,0.6328,0.2011,100.0000
class4,0.2771,0.2513,0.5843,0.0918,0.4560,0.1147,100.0000
class5,0.1548,0.1412,0.3774,0.0451,0.2734,0.0742,100.0000
class6,0.2002,0.1535,0.9934,0.0418,0.3489,0.1477,100.0000
class7,0.1638,0.1501,0.5609,0.0402,0.2615,0.0785,100.0000
class8,0.1874,0.1736,0.4338,0.0689,0.2918,0.0765,100.0000
class9,0.2095,0.1921,0.6322,0.0571,0.3376,0.1055,100.0000
class10,0.3630,0.3519,0.6900,0.1616,0.5187,0.1162,100.0000
class11,0.3543,0.3509,0.8305,0.1375,0.5121,0.1239,100.0000
class12,0.2399,0.2182,0.9908,0.0594,0.3538,0.1238,100.0000
class13,0.2634,0.2380,0.9586,0.0000,0.4365,0.1577,100.0000
class14,0.3380,0.3059,0.9785,0.0000,0.5282,0.1679,100.0000
mean,0.2379,0.2280,0.4301,0.1370,0.3082,0.0524,100.0000
