class,mean,median,max,min,90percentile,std,notnans
class0,0.0562,0.0562,0.0562,0.0562,0.0562,0.0000,1.0000
class1,0.0602,0.0602,0.0602,0.0602,0.0602,0.0000,1.0000
class2,0.0352,0.0352,0.0352,0.0352,0.0352,0.0000,1.0000
class3,0.1563,0.1563,0.1563,0.1563,0.1563,0.0000,1.0000
class4,0.1300,0.1300,0.1300,0.1300,0.1300,0.0000,1.0000
class5,0.0831,0.0831,0.0831,0.0831,0.0831,0.0000,1.0000
class6,0.1439,0.1439,0.1439,0.1439,0.1439,0.0000,1.0000
class7,0.0480,0.0480,0.0480,0.0480,0.0480,0.0000,1.0000
class8,0.0967,0.0967,0.0967,0.0967,0.0967,0.0000,1.0000
class9,0.1380,0.1380,0.1380,0.1380,0.1380,0.0000,1.0000
class10,0.1562,0.1562,0.1562,0.1562,0.1562,0.0000,1.0000
class11,0.1979,0.1979,0.1979,0.1979,0.1979,0.0000,1.0000
class12,0.1543,0.1543,0.1543,0.1543,0.1543,0.0000,1.0000
class13,0.1396,0.1396,0.1396,0.1396,0.1396,0.0000,1.0000
class14,0.1739,0.1739,0.1739,0.1739,0.1739,0.0000,1.0000
mean,0.1180,0.1180,0.1180,0.1180,0.1180,0.0000,1.0000
