class,mean,median,max,min,90percentile,std,notnans
class0,0.0001,0.0000,0.0017,0.0000,0.0002,0.0003,100.0000
class1,0.0025,0.0013,0.0701,0.0002,0.0039,0.0070,100.0000
class2,0.0047,0.0023,0.1565,0.0002,0.0064,0.0157,98.0000
class3,0.0025,0.0018,0.0097,0.0002,0.0052,0.0021,100.0000
class4,0.0838,0.0071,0.9983,0.0000,0.1319,0.2386,99.0000
class5,0.0387,0.0241,0.5989,0.0020,0.0860,0.0647,100.0000
class6,0.0016,0.0013,0.0130,0.0001,0.0030,0.0019,100.0000
class7,0.0219,0.0035,0.9999,0.0005,0.0339,0.1033,100.0000
class8,0.0044,0.0029,0.0808,0.0002,0.0075,0.0082,100.0000
class9,0.0183,0.0111,0.1443,0.0017,0.0410,0.0229,100.0000
class10,0.0438,0.0217,0.4391,0.0030,0.1084,0.0608,100.0000
class11,0.0674,0.0574,0.4328,0.0000,0.1241,0.0559,100.0000
class12,0.0779,0.0497,0.8133,0.0045,0.1585,0.1006,100.0000
class13,0.0673,0.0355,0.9998,0.0039,0.1099,0.1262,100.0000
class14,0.0521,0.0075,0.9642,0.0003,0.0710,0.1548,99.0000
class15,0.0824,0.0188,0.9993,0.0010,0.2425,0.1909,99.0000
mean,0.0355,0.0242,0.2065,0.0050,0.0768,0.0326,100.0000
