class,mean,median,max,min,90percentile,std,notnans
class0,0.0052,0.0042,0.0304,0.0013,0.0086,0.0037,100.0000
class1,0.0005,0.0002,0.0051,0.0000,0.0010,0.0007,100.0000
class2,0.0002,0.0002,0.0006,0.0000,0.0004,0.0001,100.0000
class3,0.0003,0.0002,0.0028,0.0001,0.0005,0.0003,100.0000
class4,0.0010,0.0001,0.0595,0.0000,0.0006,0.0061,100.0000
class5,0.0003,0.0001,0.0138,0.0000,0.0004,0.0014,100.0000
class6,0.0015,0.0012,0.0096,0.0003,0.0023,0.0012,100.0000
class7,0.0032,0.0007,0.1170,0.0000,0.0051,0.0124,100.0000
class8,0.0015,0.0002,0.1124,0.0000,0.0007,0.0112,100.0000
class9,0.0003,0.0003,0.0014,0.0001,0.0007,0.0003,100.0000
class10,0.0007,0.0004,0.0060,0.0001,0.0013,0.0009,100.0000
class11,0.0001,0.0000,0.0007,0.0000,0.0001,0.0001,100.0000
class12,0.0001,0.0000,0.0006,0.0000,0.0001,0.0001,100.0000
class13,0.0010,0.0005,0.0089,0.0000,0.0026,0.0013,100.0000
class14,0.0011,0.0003,0.0369,0.0000,0.0012,0.0043,100.0000
class15,0.0011,0.0002,0.0408,0.0000,0.0019,0.0042,100.0000
mean,0.0011,0.0008,0.0090,0.0002,0.0021,0.0013,100.0000
