class,mean,median,max,min,90percentile,std,notnans
class0,0.9977,0.9981,0.9995,0.9869,0.9990,0.0017,100.0000
class1,0.9674,0.9705,0.9884,0.8382,0.9862,0.0204,100.0000
class2,0.9612,0.9658,0.9845,0.7206,0.9793,0.0284,98.0000
class3,0.9638,0.9664,0.9836,0.8899,0.9797,0.0145,100.0000
class4,0.8390,0.9169,0.9762,0.0140,0.9554,0.2090,93.0000
class5,0.8368,0.8687,0.9598,0.1361,0.9273,0.1200,100.0000
class6,0.9747,0.9767,0.9907,0.9279,0.9858,0.0123,100.0000
class7,0.9164,0.9524,0.9836,0.3503,0.9701,0.1101,99.0000
class8,0.9492,0.9582,0.9789,0.5852,0.9717,0.0429,100.0000
class9,0.9089,0.9152,0.9640,0.7967,0.9524,0.0391,100.0000
class10,0.8541,0.8780,0.9395,0.4141,0.9252,0.0960,100.0000
class11,0.7637,0.7782,0.9177,0.1116,0.8783,0.1085,100.0000
class12,0.7791,0.8003,0.9355,0.1788,0.8844,0.1100,100.0000
class13,0.8194,0.8455,0.9306,0.1161,0.9157,0.1111,99.0000
class14,0.8803,0.9308,0.9867,0.0137,0.9743,0.1542,99.0000
class15,0.8254,0.8717,0.9524,0.0000,0.9387,0.1579,97.0000
mean,0.8900,0.8988,0.9509,0.7243,0.9343,0.0417,100.0000
