class,mean,median,max,min,90percentile,std,notnans
class0,0.0815,0.0702,0.3203,0.0199,0.1330,0.0520,87.0000
class1,0.0750,0.0670,0.3456,0.0171,0.1211,0.0443,87.0000
class2,0.0685,0.0653,0.1371,0.0200,0.1087,0.0296,87.0000
class3,0.1301,0.1109,0.4640,0.0279,0.2150,0.0854,87.0000
class4,0.1141,0.1037,0.2560,0.0337,0.1983,0.0525,87.0000
class5,0.0771,0.0729,0.2308,0.0132,0.1243,0.0383,87.0000
class6,0.0900,0.0782,0.3360,0.0197,0.1494,0.0531,87.0000
class7,0.0722,0.0668,0.2514,0.0176,0.1241,0.0397,87.0000
class8,0.0877,0.0784,0.2006,0.0228,0.1481,0.0404,87.0000
class9,0.0926,0.0838,0.2664,0.0235,0.1483,0.0483,87.0000
class10,0.1429,0.1377,0.2844,0.0538,0.1988,0.0482,87.0000
class11,0.1429,0.1316,0.4472,0.0570,0.2101,0.0620,87.0000
class12,0.1025,0.1014,0.2854,0.0166,0.1623,0.0460,87.0000
class13,0.1307,0.1104,0.3729,0.0222,0.2354,0.0776,87.0000
class14,0.1525,0.1477,0.3363,0.0222,0.2553,0.0740,87.0000
mean,0.1040,0.1013,0.1601,0.0579,0.1318,0.0211,87.0000
