class,mean,median,max,min,90percentile,std,notnans
class0,0.9666,0.9705,0.9884,0.8382,0.9863,0.0212,87.0000
class1,0.9612,0.9658,0.9845,0.7206,0.9793,0.0295,87.0000
class2,0.9646,0.9667,0.9836,0.9354,0.9800,0.0126,87.0000
class3,0.8345,0.9128,0.9762,0.0140,0.9558,0.2148,87.0000
class4,0.8407,0.8652,0.9598,0.1951,0.9290,0.1019,87.0000
class5,0.9743,0.9767,0.9907,0.9279,0.9858,0.0127,87.0000
class6,0.9209,0.9545,0.9836,0.4091,0.9706,0.0994,87.0000
class7,0.9488,0.9572,0.9789,0.5852,0.9715,0.0448,87.0000
class8,0.9094,0.9150,0.9616,0.7966,0.9524,0.0391,87.0000
class9,0.8623,0.8780,0.9395,0.4141,0.9261,0.0832,87.0000
class10,0.7674,0.7778,0.9177,0.4719,0.8777,0.0864,87.0000
class11,0.7779,0.7953,0.9355,0.1788,0.8869,0.1136,87.0000
class12,0.8273,0.8501,0.9307,0.5186,0.9165,0.0888,87.0000
class13,0.8745,0.9264,0.9839,0.0138,0.9733,0.1609,87.0000
class14,0.8268,0.8712,0.9524,0.0000,0.9387,0.1558,87.0000
mean,0.8838,0.8911,0.9476,0.7061,0.9305,0.0421,87.0000
