class,mean,median,max,min,90percentile,std,notnans
class0,0.0623,0.0623,0.0623,0.0623,0.0623,0.0000,1.0000
class1,0.0645,0.0645,0.0645,0.0645,0.0645,0.0000,1.0000
class2,0.0306,0.0306,0.0306,0.0306,0.0306,0.0000,1.0000
class3,0.1696,0.1696,0.1696,0.1696,0.1696,0.0000,1.0000
class4,0.1350,0.1350,0.1350,0.1350,0.1350,0.0000,1.0000
class5,0.0850,0.0850,0.0850,0.0850,0.0850,0.0000,1.0000
class6,0.1239,0.1239,0.1239,0.1239,0.1239,0.0000,1.0000
class7,0.0497,0.0497,0.0497,0.0497,0.0497,0.0000,1.0000
class8,0.0972,0.0972,0.0972,0.0972,0.0972,0.0000,1.0000
class9,0.1328,0.1328,0.1328,0.1328,0.1328,0.0000,1.0000
class10,0.1589,0.1589,0.1589,0.1589,0.1589,0.0000,1.0000
class11,0.1892,0.1892,0.1892,0.1892,0.1892,0.0000,1.0000
class12,0.1490,0.1490,0.1490,0.1490,0.1490,0.0000,1.0000
class13,0.1462,0.1462,0.1462,0.1462,0.1462,0.0000,1.0000
class14,0.1660,0.1660,0.1660,0.1660,0.1660,0.0000,1.0000
mean,0.1173,0.1173,0.1173,0.1173,0.1173,0.0000,1.0000
