class,mean,median,max,min,90percentile,std,notnans
class0,0.0808,0.0680,0.3206,0.0157,0.1282,0.0501,100.0000
class1,0.0763,0.0701,0.3423,0.0201,0.1225,0.0423,100.0000
class2,0.0701,0.0646,0.1442,0.0226,0.1127,0.0313,100.0000
class3,0.1480,0.1210,0.4998,0.0231,0.3584,0.1121,100.0000
class4,0.1172,0.1015,0.2810,0.0313,0.2070,0.0546,100.0000
class5,0.0747,0.0680,0.2177,0.0132,0.1227,0.0402,100.0000
class6,0.0984,0.0810,0.4996,0.0179,0.1624,0.0739,100.0000
class7,0.0724,0.0682,0.2454,0.0173,0.1224,0.0384,100.0000
class8,0.0866,0.0792,0.2028,0.0242,0.1413,0.0393,100.0000
class9,0.0991,0.0925,0.3165,0.0266,0.1658,0.0507,100.0000
class10,0.1492,0.1417,0.3958,0.0586,0.2256,0.0563,100.0000
class11,0.1423,0.1298,0.4481,0.0512,0.2097,0.0592,100.0000
class12,0.1116,0.1081,0.4995,0.0214,0.1662,0.0594,100.0000
class13,0.1273,0.1097,0.3687,0.0000,0.2314,0.0765,100.0000
class14,0.1601,0.1467,0.4984,0.0000,0.2866,0.0888,100.0000
mean,0.1076,0.1047,0.2036,0.0622,0.1377,0.0250,100.0000
