filename,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,mean
amos_0008.nii.gz,0.9545323,0.945517,0.934478,0.8254657,0.7973052,0.9718114,0.8988764,0.94643164,0.8071979,0.8773919,0.7470049,0.7432099,0.7391452,0.9486516,0.86165845,0.8665784
amos_0013.nii.gz,0.9504393,0.94840425,0.93817455,0.9243636,0.7586543,0.9749056,0.90557486,0.94272393,0.87161237,0.7831109,0.77656674,0.797153,0.65070075,0.92642224,0.6745534,0.8548906
amos_0018.nii.gz,0.9743166,0.95734376,0.964273,0.88372093,0.83480364,0.9751049,0.937109,0.9471877,0.86835545,0.8298857,0.73730963,0.7650328,0.7559707,0.91605735,0.742065,0.87256914
amos_0022.nii.gz,0.9636854,0.9565559,0.95949996,0.83774835,0.8789889,0.9721224,0.944618,0.9408446,0.8962462,0.85974324,0.77516776,0.80762357,0.8457858,0.8585269,0.89844364,0.89304
amos_0029.nii.gz,0.96644276,0.9677671,0.9689396,0.9385361,0.8775935,0.9828589,0.9702636,0.9333398,0.9281417,0.8793455,0.8756614,0.8441831,0.787105,0.96536386,nan,0.92039585
amos_0032.nii.gz,0.96920204,0.9703387,0.9697907,0.9303324,0.8797437,0.97632647,0.97130585,0.94549865,0.9054614,0.9004472,0.83371824,0.84197533,0.87324446,0.956053,0.8629918,0.91909534
amos_0034.nii.gz,0.9612347,0.9656892,0.9577589,0.79847664,0.81386137,0.9632083,0.80738056,0.95573986,0.85213864,0.72520673,0.5995242,0.6672283,0.6599907,0.8427662,0.8604218,0.8287084
amos_0040.nii.gz,0.9687939,0.94480246,0.9492954,0.67160624,0.8196424,0.9682096,0.9573806,0.84392166,0.80454105,0.83354616,0.70238096,0.77759194,0.8450066,0.3637022,0.6730205,0.80822945
amos_0041.nii.gz,0.9590156,0.9499952,0.94889206,0.3605597,0.81084746,0.96791804,0.8432106,0.900914,0.8657703,0.6738035,0.6943723,0.63251936,0.5897061,0.9142951,0.5998876,0.78078055
amos_0051.nii.gz,0.94869703,0.93780184,0.9538698,0.7608966,0.7968442,0.96860504,0.8770279,0.94678074,0.8155279,0.825962,0.77111113,0.685654,0.79413694,0.807007,0.85554314,0.8496977
amos_0056.nii.gz,0.94251716,0.94511265,0.93690413,nan,0.1286201,0.9735079,0.8736522,0.9454876,0.8187423,0.49992034,0.8474171,0.77317184,nan,0.96387947,0.8481382,0.8074669
amos_0061.nii.gz,0.9727183,0.7340996,0.9546179,0.93650794,0.8300971,0.9704105,0.96433645,0.92226964,0.8967531,0.8460868,0.71326166,0.7028302,0.8576426,0.9098939,0.8900137,0.8734359
amos_0063.nii.gz,0.9634902,0.9571514,0.95615286,0.9101646,0.8237438,0.9649463,0.9328386,0.9186298,0.8753514,0.8705751,0.71428573,0.75114304,0.7411256,0.61861825,0.88572013,0.8589291
amos_0070.nii.gz,0.96653515,0.9531265,0.8843145,nan,0.8267733,0.9765984,0.96783453,0.94495916,0.8499858,0.89905083,0.7595109,0.81469977,0.8258405,0.86552465,0.36170393,0.849747
amos_0073.nii.gz,0.96861786,0.96618414,0.9578817,0.85449594,0.8792899,0.9765991,0.94978845,0.94844264,0.8546655,0.85543406,0.8458498,0.75637645,0.87034684,0.9064984,0.8659794,0.8970967
