class,mean,median,max,min,90percentile,std,notnans
class0,0.0602,0.0602,0.0602,0.0602,0.0602,0.0000,1.0000
class1,0.0630,0.0630,0.0630,0.0630,0.0630,0.0000,1.0000
class2,0.0381,0.0381,0.0381,0.0381,0.0381,0.0000,1.0000
class3,0.1520,0.1520,0.1520,0.1520,0.1520,0.0000,1.0000
class4,0.1397,0.1397,0.1397,0.1397,0.1397,0.0000,1.0000
class5,0.0909,0.0909,0.0909,0.0909,0.0909,0.0000,1.0000
class6,0.1509,0.1509,0.1509,0.1509,0.1509,0.0000,1.0000
class7,0.0513,0.0513,0.0513,0.0513,0.0513,0.0000,1.0000
class8,0.1005,0.1005,0.1005,0.1005,0.1005,0.0000,1.0000
class9,0.1343,0.1343,0.1343,0.1343,0.1343,0.0000,1.0000
class10,0.1590,0.1590,0.1590,0.1590,0.1590,0.0000,1.0000
class11,0.1817,0.1817,0.1817,0.1817,0.1817,0.0000,1.0000
class12,0.1535,0.1535,0.1535,0.1535,0.1535,0.0000,1.0000
class13,0.1420,0.1420,0.1420,0.1420,0.1420,0.0000,1.0000
class14,0.1686,0.1686,0.1686,0.1686,0.1686,0.0000,1.0000
mean,0.1190,0.1190,0.1190,0.1190,0.1190,0.0000,1.0000
