class,mean,median,max,min,90percentile,std,notnans
class0,0.0271,0.0271,0.0271,0.0271,0.0271,0.0000,1.0000
class1,0.0327,0.0327,0.0327,0.0327,0.0327,0.0000,1.0000
class2,0.0430,0.0430,0.0430,0.0430,0.0430,0.0000,1.0000
class3,0.0402,0.0402,0.0402,0.0402,0.0402,0.0000,1.0000
class4,0.0252,0.0252,0.0252,0.0252,0.0252,0.0000,1.0000
class5,0.0164,0.0164,0.0164,0.0164,0.0164,0.0000,1.0000
class6,0.0429,0.0429,0.0429,0.0429,0.0429,0.0000,1.0000
class7,0.0363,0.0363,0.0363,0.0363,0.0363,0.0000,1.0000
class8,0.0033,0.0033,0.0033,0.0033,0.0033,0.0000,1.0000
class9,0.0197,0.0197,0.0197,0.0197,0.0197,0.0000,1.0000
class10,0.0416,0.0416,0.0416,0.0416,0.0416,0.0000,1.0000
class11,0.0440,0.0440,0.0440,0.0440,0.0440,0.0000,1.0000
class12,0.0313,0.0313,0.0313,0.0313,0.0313,0.0000,1.0000
class13,0.0370,0.0370,0.0370,0.0370,0.0370,0.0000,1.0000
class14,0.0474,0.0474,0.0474,0.0474,0.0474,0.0000,1.0000
mean,0.0325,0.0325,0.0325,0.0325,0.0325,0.0000,1.0000
