class,mean,median,max,min,90percentile,std,notnans
class0,0.0001,0.0000,0.0021,0.0000,0.0002,0.0003,100.0000
class1,0.0025,0.0013,0.0679,0.0002,0.0038,0.0068,100.0000
class2,0.0047,0.0023,0.1540,0.0002,0.0064,0.0155,98.0000
class3,0.0025,0.0018,0.0097,0.0002,0.0052,0.0022,100.0000
class4,0.0839,0.0071,0.9983,0.0000,0.1326,0.2386,99.0000
class5,0.0387,0.0238,0.6094,0.0018,0.0864,0.0655,100.0000
class6,0.0016,0.0013,0.0125,0.0001,0.0031,0.0019,100.0000
class7,0.0219,0.0034,0.9999,0.0005,0.0339,0.1034,100.0000
class8,0.0044,0.0029,0.0815,0.0001,0.0074,0.0083,100.0000
class9,0.0183,0.0111,0.1484,0.0017,0.0406,0.0230,100.0000
class10,0.0434,0.0215,0.4392,0.0031,0.1085,0.0602,100.0000
class11,0.0681,0.0574,0.4277,0.0000,0.1246,0.0557,100.0000
class12,0.0779,0.0511,0.8083,0.0045,0.1577,0.0998,100.0000
class13,0.0671,0.0354,0.9998,0.0041,0.1083,0.1261,100.0000
class14,0.0519,0.0072,0.9632,0.0003,0.0708,0.1544,99.0000
class15,0.0824,0.0176,0.9993,0.0009,0.2431,0.1910,99.0000
mean,0.0355,0.0238,0.2075,0.0051,0.0768,0.0327,100.0000
