class,mean,median,max,min,90percentile,std,notnans
class0,0.0780,0.0664,0.3316,0.0164,0.1334,0.0503,100.0000
class1,0.0777,0.0695,0.3959,0.0146,0.1165,0.0538,100.0000
class2,0.0670,0.0632,0.2252,0.0116,0.0956,0.0299,100.0000
class3,0.1321,0.1005,0.4986,0.0283,0.2743,0.1023,100.0000
class4,0.1025,0.0963,0.2524,0.0233,0.1708,0.0517,100.0000
class5,0.0722,0.0656,0.1835,0.0180,0.1104,0.0317,100.0000
class6,0.0903,0.0616,0.4994,0.0131,0.1666,0.0775,100.0000
class7,0.0697,0.0617,0.2875,0.0193,0.1095,0.0367,100.0000
class8,0.0781,0.0742,0.2010,0.0177,0.1222,0.0379,100.0000
class9,0.0800,0.0733,0.2856,0.0161,0.1394,0.0528,100.0000
class10,0.1197,0.1092,0.3992,0.0383,0.1959,0.0577,100.0000
class11,0.1225,0.1100,0.3691,0.0419,0.2102,0.0595,100.0000
class12,0.0948,0.0862,0.4986,0.0147,0.1497,0.0621,100.0000
class13,0.1161,0.0874,0.4380,0.0000,0.2140,0.0802,100.0000
class14,0.1414,0.1203,0.4981,0.0000,0.2679,0.0869,100.0000
mean,0.0961,0.0942,0.1989,0.0560,0.1197,0.0231,100.0000
