class,mean,median,max,min,90percentile,std,notnans
class0,0.1824,0.1585,0.5646,0.0423,0.2933,0.0941,100.0000
class1,0.1725,0.1414,0.9080,0.0577,0.2555,0.1100,100.0000
class2,0.1520,0.1423,0.3874,0.0393,0.2496,0.0695,100.0000
class3,0.3143,0.2483,0.9863,0.0893,0.6031,0.2110,100.0000
class4,0.2541,0.2422,0.6813,0.0557,0.3978,0.1145,100.0000
class5,0.1558,0.1416,0.3724,0.0343,0.2430,0.0703,100.0000
class6,0.2052,0.1641,0.9936,0.0337,0.3480,0.1452,100.0000
class7,0.1648,0.1574,0.6255,0.0328,0.2624,0.0806,100.0000
class8,0.1777,0.1739,0.4113,0.0431,0.2604,0.0713,100.0000
class9,0.2124,0.1926,0.6316,0.0390,0.3427,0.1066,100.0000
class10,0.3424,0.3200,0.7450,0.1278,0.4770,0.1098,100.0000
class11,0.3202,0.3041,0.8399,0.1229,0.4690,0.1264,100.0000
class12,0.2077,0.1801,0.9846,0.0530,0.3272,0.1313,100.0000
class13,0.2445,0.2097,0.8427,0.0436,0.4336,0.1424,100.0000
class14,0.3306,0.2971,0.9714,0.1060,0.5589,0.1699,100.0000
mean,0.2291,0.2189,0.4348,0.1366,0.3009,0.0554,100.0000
