class,mean,median,max,min,90percentile,std,notnans
class0,0.0001,0.0000,0.0035,0.0000,0.0002,0.0004,100.0000
class1,0.0018,0.0012,0.0078,0.0001,0.0038,0.0017,100.0000
class2,0.0209,0.0029,0.9868,0.0003,0.0076,0.1223,100.0000
class3,0.0030,0.0022,0.0137,0.0004,0.0067,0.0026,100.0000
class4,0.0956,0.0089,0.9993,0.0000,0.1548,0.2582,100.0000
class5,0.0398,0.0243,0.5792,0.0022,0.0889,0.0639,100.0000
class6,0.0016,0.0013,0.0079,0.0001,0.0030,0.0015,100.0000
class7,0.0238,0.0055,1.0000,0.0007,0.0316,0.1027,100.0000
class8,0.0042,0.0026,0.0622,0.0002,0.0078,0.0067,100.0000
class9,0.0161,0.0099,0.1321,0.0012,0.0330,0.0205,100.0000
class10,0.0483,0.0269,0.5022,0.0070,0.0967,0.0629,100.0000
class11,0.0742,0.0565,0.5854,0.0031,0.1389,0.0791,100.0000
class12,0.0751,0.0468,0.7501,0.0022,0.1715,0.0978,100.0000
class13,0.0724,0.0342,0.9999,0.0046,0.1261,0.1334,100.0000
class14,0.0528,0.0053,0.8446,0.0004,0.0822,0.1477,99.0000
class15,0.0733,0.0179,0.9992,0.0005,0.1899,0.1846,99.0000
mean,0.0376,0.0247,0.2086,0.0053,0.0842,0.0346,100.0000
