class,mean,median,max,min,90percentile,std,notnans
class0,0.9976,0.9980,0.9994,0.9848,0.9989,0.0019,100.0000
class1,0.9670,0.9711,0.9886,0.8615,0.9845,0.0182,100.0000
class2,0.9616,0.9657,0.9847,0.7774,0.9789,0.0234,98.0000
class3,0.9625,0.9653,0.9863,0.8540,0.9787,0.0170,100.0000
class4,0.8409,0.9138,0.9725,0.0000,0.9529,0.2082,93.0000
class5,0.8369,0.8618,0.9559,0.2078,0.9290,0.1082,100.0000
class6,0.9742,0.9757,0.9905,0.9271,0.9853,0.0119,100.0000
class7,0.9117,0.9515,0.9844,0.1432,0.9692,0.1223,99.0000
class8,0.9480,0.9562,0.9774,0.5415,0.9718,0.0466,100.0000
class9,0.9101,0.9169,0.9624,0.7940,0.9487,0.0375,100.0000
class10,0.8499,0.8829,0.9356,0.4322,0.9229,0.1006,100.0000
class11,0.7609,0.7714,0.9235,0.2048,0.8676,0.1097,100.0000
class12,0.7795,0.7904,0.9467,0.2099,0.8883,0.1086,100.0000
class13,0.8100,0.8407,0.9310,0.1331,0.9076,0.1181,99.0000
class14,0.8783,0.9293,0.9848,0.0904,0.9753,0.1519,99.0000
class15,0.8211,0.8729,0.9499,0.0000,0.9337,0.1575,97.0000
mean,0.8883,0.8961,0.9517,0.6958,0.9345,0.0437,100.0000
