class,mean,median,max,min,90percentile,std,notnans
class0,0.1822,0.1647,0.5656,0.0431,0.2959,0.0948,100.0000
class1,0.1717,0.1412,0.9080,0.0553,0.2560,0.1104,100.0000
class2,0.1532,0.1433,0.3916,0.0432,0.2490,0.0699,100.0000
class3,0.3136,0.2483,0.9864,0.0878,0.5837,0.2109,100.0000
class4,0.2547,0.2444,0.6813,0.0570,0.3993,0.1141,100.0000
class5,0.1545,0.1416,0.3729,0.0341,0.2434,0.0707,100.0000
class6,0.2049,0.1627,0.9936,0.0335,0.3478,0.1449,100.0000
class7,0.1644,0.1542,0.6255,0.0348,0.2683,0.0806,100.0000
class8,0.1777,0.1721,0.4128,0.0439,0.2607,0.0713,100.0000
class9,0.2126,0.1926,0.6308,0.0402,0.3430,0.1069,100.0000
class10,0.3408,0.3199,0.7450,0.1277,0.4770,0.1101,100.0000
class11,0.3208,0.3098,0.8398,0.1232,0.4703,0.1262,100.0000
class12,0.2080,0.1761,0.9847,0.0541,0.3280,0.1315,100.0000
class13,0.2458,0.2099,0.8433,0.0416,0.4314,0.1445,100.0000
class14,0.3309,0.3012,0.9713,0.1107,0.5576,0.1703,100.0000
mean,0.2291,0.2189,0.4355,0.1367,0.3015,0.0556,100.0000
