filename,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,mean
amos_0008.nii.gz,0.9508084,0.94465095,0.9318578,0.82238936,0.7822222,0.97097963,0.8888699,0.946647,0.8067045,0.88282806,0.7681941,0.75829387,0.7315952,0.9499967,0.85519964,0.8660825
amos_0013.nii.gz,0.949116,0.9461109,0.94187707,0.92070377,0.7795497,0.9745527,0.90293634,0.94165295,0.874582,0.7804421,0.76236933,0.787176,0.6707619,0.92933255,0.69123214,0.8568264
amos_0018.nii.gz,0.97394484,0.95783526,0.9620621,0.9228467,0.821975,0.9750455,0.9385575,0.9457002,0.87503195,0.81534034,0.68406594,0.7626263,0.7400756,0.91662556,0.7730216,0.87098366
amos_0022.nii.gz,0.9625,0.9554511,0.9572948,0.8194017,0.88643533,0.97025025,0.9363013,0.94172746,0.89359087,0.8660586,0.78651685,0.80827755,0.8612977,0.829721,0.8956339,0.8913639
amos_0029.nii.gz,0.9650163,0.96864444,0.9681507,0.94011074,0.8812041,0.9824831,0.9677334,0.9337902,0.92587537,0.8779393,0.86530614,0.8331915,0.75737566,0.9631323,nan,0.9164252
amos_0032.nii.gz,0.9712871,0.9710162,0.96987224,0.9322638,0.8802974,0.9759882,0.9726487,0.9438952,0.9054036,0.88781255,0.8327645,0.8447205,0.8604456,0.95806617,0.82757807,0.915604
amos_0034.nii.gz,0.9593464,0.9676774,0.9602054,0.8255832,0.8019024,0.9610325,0.850345,0.95200884,0.8421781,0.65511686,0.59671104,0.6707211,0.5944916,0.79907286,0.87186515,0.8205506
amos_0040.nii.gz,0.96831477,0.943784,0.9451855,0.6753379,0.7962314,0.96799994,0.9534455,0.8453661,0.79811156,0.83388996,0.72088355,0.8183333,0.84085906,0.4133735,0.55618656,0.8051536
amos_0041.nii.gz,0.95754296,0.9512334,0.9478767,0.5740689,0.8017415,0.9658912,0.8496742,0.90340453,0.86127555,0.7599644,0.67242867,0.6433649,0.64895576,0.922119,0.7097714,0.8112875
amos_0051.nii.gz,0.94759065,0.93740326,0.9513696,0.78040975,0.82054025,0.9671629,0.87758005,0.94067746,0.816349,0.8250125,0.75258917,0.6906318,0.8028161,0.8425337,0.8425233,0.85301274
amos_0056.nii.gz,0.9454014,0.94163185,0.92901987,nan,0.22323462,0.9749544,0.91442084,0.93880135,0.8284178,0.4701522,0.7408893,0.7650023,nan,0.96488154,0.8737864,0.8085072
amos_0061.nii.gz,0.97263825,0.950587,0.9526554,0.93828684,0.8235294,0.96671736,0.9648377,0.91949964,0.8993019,0.83135885,0.69279855,0.7327888,0.84821045,0.92842495,0.9019574,0.8882395
amos_0063.nii.gz,0.96005136,0.9517208,0.9543731,0.9040689,0.8057554,0.9616062,0.9282295,0.91388243,0.868778,0.8565841,0.6788991,0.7111111,0.7698866,0.5835021,0.8727873,0.84808236
amos_0070.nii.gz,0.9661068,0.9519866,0.8542128,nan,0.83547556,0.97783303,0.97048557,0.94281554,0.83910924,0.89849204,0.7436774,0.8376344,0.7851796,0.84379935,0.3659544,0.8437687
amos_0073.nii.gz,0.9676386,0.9639208,0.95767516,0.8425601,0.87081623,0.9760962,0.955721,0.9395219,0.85766196,0.85101247,0.84149486,0.76,0.86194885,0.9087531,0.8434391,0.8932173
