class,mean,median,max,min,90percentile,std,notnans
class0,0.0474,0.0474,0.0474,0.0474,0.0474,0.0000,1.0000
class1,0.0175,0.0175,0.0175,0.0175,0.0175,0.0000,1.0000
class2,0.0204,0.0204,0.0204,0.0204,0.0204,0.0000,1.0000
class3,0.0590,0.0590,0.0590,0.0590,0.0590,0.0000,1.0000
class4,0.0576,0.0576,0.0576,0.0576,0.0576,0.0000,1.0000
class5,0.0359,0.0359,0.0359,0.0359,0.0359,0.0000,1.0000
class6,0.0595,0.0595,0.0595,0.0595,0.0595,0.0000,1.0000
class7,0.0370,0.0370,0.0370,0.0370,0.0370,0.0000,1.0000
class8,0.0402,0.0402,0.0402,0.0402,0.0402,0.0000,1.0000
class9,0.0691,0.0691,0.0691,0.0691,0.0691,0.0000,1.0000
class10,0.0723,0.0723,0.0723,0.0723,0.0723,0.0000,1.0000
class11,0.0644,0.0644,0.0644,0.0644,0.0644,0.0000,1.0000
class12,0.0643,0.0643,0.0643,0.0643,0.0643,0.0000,1.0000
class13,0.0514,0.0514,0.0514,0.0514,0.0514,0.0000,1.0000
class14,0.0858,0.0858,0.0858,0.0858,0.0858,0.0000,1.0000
mean,0.0521,0.0521,0.0521,0.0521,0.0521,0.0000,1.0000
