class,mean,median,max,min,90percentile,std,notnans
class0,0.1028,0.1028,0.1028,0.1028,0.1028,0.0000,1.0000
class1,0.0402,0.0402,0.0402,0.0402,0.0402,0.0000,1.0000
class2,0.0387,0.0387,0.0387,0.0387,0.0387,0.0000,1.0000
class3,0.1283,0.1283,0.1283,0.1283,0.1283,0.0000,1.0000
class4,0.1253,0.1253,0.1253,0.1253,0.1253,0.0000,1.0000
class5,0.0634,0.0634,0.0634,0.0634,0.0634,0.0000,1.0000
class6,0.1016,0.1016,0.1016,0.1016,0.1016,0.0000,1.0000
class7,0.0757,0.0757,0.0757,0.0757,0.0757,0.0000,1.0000
class8,0.0768,0.0768,0.0768,0.0768,0.0768,0.0000,1.0000
class9,0.1444,0.1444,0.1444,0.1444,0.1444,0.0000,1.0000
class10,0.1264,0.1264,0.1264,0.1264,0.1264,0.0000,1.0000
class11,0.1323,0.1323,0.1323,0.1323,0.1323,0.0000,1.0000
class12,0.1146,0.1146,0.1146,0.1146,0.1146,0.0000,1.0000
class13,0.0952,0.0952,0.0952,0.0952,0.0952,0.0000,1.0000
class14,0.1785,0.1785,0.1785,0.1785,0.1785,0.0000,1.0000
mean,0.1029,0.1029,0.1029,0.1029,0.1029,0.0000,1.0000
