class,mean,median,max,min,90percentile,std,notnans
class0,0.1821,0.1532,0.5646,0.0423,0.2997,0.0983,87.0000
class1,0.1584,0.1383,0.4328,0.0577,0.2499,0.0740,87.0000
class2,0.1506,0.1446,0.3176,0.0393,0.2506,0.0677,87.0000
class3,0.2783,0.2427,0.9165,0.0893,0.5054,0.1575,87.0000
class4,0.2490,0.2415,0.5734,0.0557,0.3799,0.1022,87.0000
class5,0.1569,0.1424,0.3724,0.0343,0.2377,0.0677,87.0000
class6,0.1972,0.1652,0.6016,0.0337,0.3370,0.1191,87.0000
class7,0.1583,0.1478,0.6255,0.0328,0.2437,0.0821,87.0000
class8,0.1797,0.1767,0.4113,0.0431,0.2587,0.0706,87.0000
class9,0.2048,0.1883,0.4999,0.0390,0.3371,0.0958,87.0000
class10,0.3364,0.3169,0.7450,0.1278,0.4637,0.1056,87.0000
class11,0.3200,0.3038,0.8399,0.1229,0.4712,0.1274,87.0000
class12,0.1938,0.1828,0.4517,0.0530,0.2955,0.0845,87.0000
class13,0.2488,0.2143,0.8427,0.0436,0.4341,0.1444,87.0000
class14,0.3256,0.3118,0.9558,0.1060,0.5052,0.1434,87.0000
mean,0.2227,0.2179,0.3436,0.1366,0.2798,0.0453,87.0000
