class,mean,median,max,min,90percentile,std,notnans
class0,0.9664,0.9710,0.9886,0.8616,0.9846,0.0190,87.0000
class1,0.9633,0.9657,0.9846,0.9157,0.9789,0.0144,87.0000
class2,0.9637,0.9657,0.9863,0.9319,0.9785,0.0130,87.0000
class3,0.8362,0.9129,0.9725,0.0000,0.9543,0.2139,87.0000
class4,0.8403,0.8608,0.9550,0.3338,0.9294,0.0920,87.0000
class5,0.9737,0.9755,0.9905,0.9271,0.9856,0.0123,87.0000
class6,0.9178,0.9531,0.9844,0.3943,0.9689,0.0995,87.0000
class7,0.9477,0.9554,0.9774,0.5414,0.9716,0.0488,87.0000
class8,0.9107,0.9179,0.9623,0.7940,0.9492,0.0374,87.0000
class9,0.8583,0.8833,0.9356,0.4459,0.9230,0.0850,87.0000
class10,0.7649,0.7735,0.9235,0.2048,0.8722,0.1034,87.0000
class11,0.7807,0.7895,0.9467,0.2099,0.8858,0.1102,87.0000
class12,0.8190,0.8474,0.9310,0.4267,0.9097,0.0987,87.0000
class13,0.8729,0.9284,0.9823,0.0905,0.9731,0.1575,87.0000
class14,0.8192,0.8698,0.9500,0.0000,0.9306,0.1570,87.0000
mean,0.8823,0.8895,0.9485,0.6758,0.9302,0.0437,87.0000
