class,mean,median,max,min,90percentile,std,notnans
class0,0.1190,0.1190,0.1190,0.1190,0.1190,0.0000,1.0000
class1,0.0420,0.0420,0.0420,0.0420,0.0420,0.0000,1.0000
class2,0.0392,0.0392,0.0392,0.0392,0.0392,0.0000,1.0000
class3,0.1489,0.1489,0.1489,0.1489,0.1489,0.0000,1.0000
class4,0.1280,0.1280,0.1280,0.1280,0.1280,0.0000,1.0000
class5,0.0665,0.0665,0.0665,0.0665,0.0665,0.0000,1.0000
class6,0.1015,0.1015,0.1015,0.1015,0.1015,0.0000,1.0000
class7,0.0802,0.0802,0.0802,0.0802,0.0802,0.0000,1.0000
class8,0.0765,0.0765,0.0765,0.0765,0.0765,0.0000,1.0000
class9,0.1394,0.1394,0.1394,0.1394,0.1394,0.0000,1.0000
class10,0.1219,0.1219,0.1219,0.1219,0.1219,0.0000,1.0000
class11,0.1255,0.1255,0.1255,0.1255,0.1255,0.0000,1.0000
class12,0.1033,0.1033,0.1033,0.1033,0.1033,0.0000,1.0000
class13,0.0947,0.0947,0.0947,0.0947,0.0947,0.0000,1.0000
class14,0.1981,0.1981,0.1981,0.1981,0.1981,0.0000,1.0000
mean,0.1056,0.1056,0.1056,0.1056,0.1056,0.0000,1.0000
