filename,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,mean
amos_0008.nii.gz,0.9502191,0.9451622,0.9329722,0.8178075,0.780083,0.9715225,0.89591306,0.9465171,0.8049519,0.8765086,0.7605245,0.75763017,0.73704845,0.95351577,0.85698766,0.8658243
amos_0013.nii.gz,0.94576335,0.9485645,0.9413551,0.91680694,0.78942484,0.97386515,0.89633876,0.941922,0.87741935,0.78054166,0.7607018,0.7854695,0.6709802,0.9297143,0.7173587,0.858415
amos_0018.nii.gz,0.97402555,0.9571898,0.96231496,0.91769546,0.824753,0.97511137,0.9416536,0.9470164,0.87439066,0.81776303,0.6902655,0.7590361,0.7380384,0.91741157,0.81624454,0.87419397
amos_0022.nii.gz,0.96342313,0.9569076,0.957412,0.83843213,0.88427675,0.96990615,0.9391383,0.9419115,0.89134145,0.86778635,0.8034865,0.79780084,0.8609348,0.8226338,0.90269625,0.8932059
amos_0029.nii.gz,0.96399647,0.96874756,0.96947,0.9409283,0.88573956,0.98280513,0.9682928,0.9330944,0.92681766,0.8826506,0.8695652,0.8379074,0.77660304,0.964052,nan,0.9193336
amos_0032.nii.gz,0.9717632,0.9708154,0.96996856,0.9309583,0.8825851,0.9766114,0.97266656,0.9441779,0.90673125,0.8905436,0.83893,0.8464419,0.8609312,0.9569619,0.8462875,0.9177583
amos_0034.nii.gz,0.960431,0.9667264,0.95893705,0.8184601,0.8093577,0.9612896,0.7988363,0.9531339,0.84332865,0.64986724,0.591195,0.6701299,0.5957422,0.81548876,0.8878556,0.8187186
amos_0040.nii.gz,0.96842325,0.9454316,0.9480321,0.6498807,0.7964719,0.96824914,0.9537764,0.84753066,0.79648066,0.83742625,0.7238285,0.8060708,0.83566785,0.3651345,0.6808835,0.80821913
amos_0041.nii.gz,0.9574805,0.9512906,0.9468751,0.5568694,0.7991886,0.9672556,0.8504695,0.90365684,0.8709989,0.7543293,0.6764452,0.6493813,0.63223594,0.92037874,0.6860055,0.8081907
amos_0051.nii.gz,0.94866824,0.93677,0.9513503,0.78913325,0.80763984,0.96792686,0.8823858,0.9431219,0.81130034,0.82435006,0.7514451,0.6853448,0.7960234,0.8450396,0.84837264,0.85259145
amos_0056.nii.gz,0.94721913,0.942929,0.93395936,nan,0.17501989,0.9740934,0.8919992,0.93763185,0.8328248,0.48062283,0.78111863,0.7610122,nan,0.96427345,0.87358785,0.807407
amos_0061.nii.gz,0.9731457,0.9557539,0.95490426,0.9387249,0.8286951,0.95836425,0.96601504,0.91923106,0.9011206,0.8416208,0.68738574,0.72812134,0.8477313,0.9292969,0.90419745,0.88895386
amos_0063.nii.gz,0.9595565,0.951495,0.95529956,0.90679556,0.8064859,0.96219915,0.9276286,0.9140821,0.8704966,0.8621147,0.6822811,0.71898055,0.77308166,0.56551254,0.88444227,0.8493635
amos_0070.nii.gz,0.96642935,0.95233274,0.8631918,nan,0.8429364,0.97792166,0.9708947,0.9435988,0.8416636,0.8989825,0.75068873,0.82122016,0.7550195,0.85625297,0.37643573,0.844112
amos_0073.nii.gz,0.96802837,0.96490264,0.9578313,0.8509589,0.8730486,0.97632545,0.95549816,0.9373891,0.8627451,0.8562582,0.84217334,0.7586207,0.86756295,0.91202635,0.84496397,0.89522225
amos_0085.nii.gz,0.9567916,0.96439046,0.9542685,0.74251825,0.6290172,0.9623819,0.9210417,0.93431824,0.7923453,0.8687767,0.6658768,0.80981594,0.82574004,0.9611116,0.8482148,0.8557739
amos_0087.nii.gz,0.9687382,0.9517569,0.94790816,0.91510904,0.8489723,0.9689416,0.9473722,0.92697686,0.91933674,0.8293729,0.7085562,0.7877095,0.8382878,0.96158636,0.889965,0.8940393
amos_0090.nii.gz,0.971637,0.9588993,0.9705428,0.9235105,0.9005503,0.98171055,0.9587524,0.951978,0.8917051,0.90918756,0.76864034,0.76592004,0.8607956,0.92905456,0.8496833,0.90617114
amos_0106.nii.gz,0.98096037,0.9628815,0.96895015,0.19469027,0.8622005,0.9849803,0.9183568,0.91503567,0.87141997,0.8468983,0.88445807,0.8907463,0.8632793,0.8741358,0.74458057,0.8509048
amos_0108.nii.gz,0.9428908,0.97726995,0.97573227,0.55241936,0.6020893,0.9772082,0.93355924,0.95297194,0.94445515,0.90787315,0.5985222,0.87638783,0.7616234,0.91619426,0.9446038,0.8575867
amos_0112.nii.gz,0.98524964,nan,0.96302855,0.9311147,0.89981586,0.98052716,0.91831064,0.9744772,0.92041093,0.86434686,0.80263156,0.9017341,0.8139249,0.96038663,0.9088291,0.9160562
