class,mean,median,max,min,90percentile,std,notnans
class0,0.0548,0.0548,0.0548,0.0548,0.0548,0.0000,1.0000
class1,0.0316,0.0316,0.0316,0.0316,0.0316,0.0000,1.0000
class2,0.0372,0.0372,0.0372,0.0372,0.0372,0.0000,1.0000
class3,0.1228,0.1228,0.1228,0.1228,0.1228,0.0000,1.0000
class4,0.1115,0.1115,0.1115,0.1115,0.1115,0.0000,1.0000
class5,0.0696,0.0696,0.0696,0.0696,0.0696,0.0000,1.0000
class6,0.1106,0.1106,0.1106,0.1106,0.1106,0.0000,1.0000
class7,0.0642,0.0642,0.0642,0.0642,0.0642,0.0000,1.0000
class8,0.0630,0.0630,0.0630,0.0630,0.0630,0.0000,1.0000
class9,0.0878,0.0878,0.0878,0.0878,0.0878,0.0000,1.0000
class10,0.1064,0.1064,0.1064,0.1064,0.1064,0.0000,1.0000
class11,0.1166,0.1166,0.1166,0.1166,0.1166,0.0000,1.0000
class12,0.1178,0.1178,0.1178,0.1178,0.1178,0.0000,1.0000
class13,0.1184,0.1184,0.1184,0.1184,0.1184,0.0000,1.0000
class14,0.1441,0.1441,0.1441,0.1441,0.1441,0.0000,1.0000
mean,0.0904,0.0904,0.0904,0.0904,0.0904,0.0000,1.0000
