class,mean,median,max,min,90percentile,std,notnans
class0,0.0860,0.0827,0.3130,0.0155,0.1282,0.0455,100.0000
class1,0.0843,0.0818,0.4204,0.0145,0.1206,0.0507,100.0000
class2,0.0769,0.0733,0.1690,0.0185,0.1142,0.0297,100.0000
class3,0.1374,0.0986,0.4980,0.0220,0.3037,0.1088,100.0000
class4,0.0928,0.0822,0.2573,0.0189,0.1487,0.0473,100.0000
class5,0.0718,0.0730,0.1625,0.0061,0.1171,0.0340,100.0000
class6,0.0857,0.0667,0.4993,0.0087,0.1591,0.0726,100.0000
class7,0.0765,0.0734,0.3089,0.0170,0.1218,0.0399,100.0000
class8,0.0772,0.0720,0.1793,0.0234,0.1247,0.0322,100.0000
class9,0.0782,0.0651,0.2825,0.0197,0.1386,0.0489,100.0000
class10,0.1089,0.0993,0.2895,0.0379,0.1691,0.0495,100.0000
class11,0.1060,0.0912,0.3793,0.0349,0.1808,0.0512,100.0000
class12,0.0782,0.0701,0.4985,0.0134,0.1263,0.0598,100.0000
class13,0.1135,0.1071,0.3192,0.0270,0.1921,0.0634,100.0000
class14,0.1453,0.1240,0.4971,0.0256,0.2501,0.0887,100.0000
mean,0.0946,0.0904,0.1768,0.0600,0.1187,0.0199,100.0000
