class,mean,median,max,min,90percentile,std,notnans
class0,0.0655,0.0565,0.3206,0.0111,0.1095,0.0466,100.0000
class1,0.0628,0.0526,0.3467,0.0200,0.1043,0.0466,100.0000
class2,0.0595,0.0567,0.1406,0.0132,0.0944,0.0271,100.0000
class3,0.1240,0.0859,0.4988,0.0000,0.2365,0.1171,100.0000
class4,0.0876,0.0762,0.2727,0.0184,0.1602,0.0517,100.0000
class5,0.0622,0.0525,0.2265,0.0151,0.1026,0.0351,100.0000
class6,0.0814,0.0576,0.4993,0.0108,0.1632,0.0747,100.0000
class7,0.0625,0.0557,0.2268,0.0153,0.1028,0.0335,100.0000
class8,0.0688,0.0630,0.1942,0.0181,0.1151,0.0366,100.0000
class9,0.0765,0.0664,0.2334,0.0175,0.1397,0.0464,100.0000
class10,0.1068,0.0946,0.2917,0.0334,0.1681,0.0525,100.0000
class11,0.1111,0.0927,0.4389,0.0387,0.1787,0.0614,100.0000
class12,0.0858,0.0726,0.4989,0.0186,0.1425,0.0621,100.0000
class13,0.1048,0.0840,0.3304,0.0000,0.2096,0.0724,100.0000
class14,0.1271,0.1103,0.4986,0.0000,0.2340,0.0872,100.0000
mean,0.0858,0.0816,0.1719,0.0502,0.1119,0.0219,100.0000
