filename,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,mean
amos_0008.nii.gz,0.9445194,0.941198,0.9334995,0.79690576,0.7777133,0.96938235,0.8940127,0.94631964,0.8056735,0.87642866,0.75783473,0.7465839,0.7461358,0.9437013,0.83545536,0.8610242
amos_0013.nii.gz,0.9431048,0.94250643,0.9364594,0.9145053,0.78093404,0.97270924,0.88304913,0.93646395,0.86462545,0.7804878,0.75141245,0.7842294,0.6706985,0.92304194,0.63788146,0.84814066
amos_0018.nii.gz,0.9715745,0.94964945,0.9596869,0.9146887,0.84586847,0.9738409,0.9372845,0.9417449,0.87145185,0.8151121,0.7186441,0.75403017,0.7381884,0.91868156,0.7637969,0.8716162
amos_0022.nii.gz,0.95931345,0.954171,0.95527637,0.86233586,0.86062944,0.9703348,0.9363967,0.9396241,0.9052936,0.8602979,0.7874396,0.8155224,0.83707744,0.8127305,0.8787344,0.8890118
amos_0029.nii.gz,0.9607545,0.9635042,0.96413636,0.93244046,0.8654279,0.9821444,0.96495783,0.9276381,0.92111444,0.87001777,0.87866485,0.81471515,0.74554235,0.96009225,nan,0.9107966
amos_0032.nii.gz,0.96960413,0.9679059,0.9664945,0.9276857,0.87578106,0.97466666,0.9705279,0.94285005,0.8987951,0.892539,0.8494253,0.8323988,0.8573008,0.9519697,0.84304243,0.9147325
amos_0034.nii.gz,0.9569721,0.9639267,0.95694536,0.8054754,0.8134283,0.9611143,0.79130936,0.9462814,0.8530461,0.7170257,0.5681445,0.6759099,0.64901024,0.78637797,0.84295166,0.8191947
amos_0040.nii.gz,0.9666278,0.9380087,0.94719446,0.6727457,0.79119414,0.96734,0.9546137,0.88165855,0.80135,0.8442476,0.68111455,0.80686694,0.82535404,0.44881526,0.7296763,0.81712043
amos_0041.nii.gz,0.95187145,0.95410955,0.94012725,0.5066977,0.77712417,0.9645205,0.82532954,0.9000701,0.8539612,0.717183,0.7280065,0.62064826,0.62882495,0.9091093,0.6965298,0.7982742
amos_0051.nii.gz,0.9375877,0.93491673,0.94562984,0.7763158,0.7781923,0.9652183,0.84773904,0.9405248,0.8308172,0.8178694,0.785877,0.6898803,0.77075076,0.806478,0.785301,0.8408732
amos_0056.nii.gz,0.9435837,0.94018865,0.9333007,nan,0.21956225,0.97202325,0.8420277,0.93615586,0.8215098,0.45581684,0.76947945,0.74423075,nan,0.95790577,0.8711761,0.80053544
amos_0061.nii.gz,0.97089773,0.79450643,0.94948053,0.93103015,0.8119761,0.9704983,0.9638249,0.91629404,0.90158904,0.8337747,0.66423357,0.70449173,0.8340362,0.92998654,0.86610925,0.86951524
amos_0063.nii.gz,0.9523721,0.9465022,0.9506817,0.8890823,0.8012148,0.96045405,0.9231875,0.9107004,0.86005414,0.8567104,0.6841004,0.70830476,0.74456644,0.5901132,0.8686834,0.8431152
amos_0070.nii.gz,0.9647332,0.94915956,0.91179866,nan,0.8436039,0.977476,0.9688527,0.94099784,0.8408323,0.8919269,0.76262975,0.83956045,0.74457663,0.83165926,0.3769861,0.84605664
amos_0073.nii.gz,0.96414346,0.9595868,0.95343095,0.86417794,0.85855937,0.9748965,0.94888735,0.94037694,0.8457683,0.8456189,0.8111702,0.71237755,0.8569508,0.91329575,0.855954,0.8870131
amos_0085.nii.gz,0.9599121,0.95877385,0.9482332,0.7494968,0.6350637,0.9648808,0.91495425,0.9210474,0.78016067,0.86944276,0.6764045,0.8127624,0.83723,0.95792365,0.8494097,0.85571307
amos_0087.nii.gz,0.9680955,0.9516933,0.9476815,0.9036825,0.8538324,0.9680788,0.94496334,0.92882574,0.9153395,0.823041,0.67374,0.79353416,0.79587764,0.95840114,0.86757505,0.8862907
amos_0090.nii.gz,0.9681239,0.95720917,0.96662575,0.91844517,0.8837763,0.97965753,0.95444,0.94638926,0.8912079,0.89980936,0.77133477,0.7639189,0.86974955,0.93297005,0.81509817,0.9012503
