filename,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,mean
amos_0008.nii.gz,0.9457262,0.94094867,0.93277067,0.8214102,0.77268696,0.96972436,0.8942771,0.9438761,0.8018115,0.8791063,0.76719946,0.7318612,0.73598033,0.9473167,0.86026466,0.86299735
amos_0013.nii.gz,0.9476416,0.9425191,0.9371371,0.9128241,0.7760039,0.9731241,0.8972174,0.9366896,0.8692816,0.7931403,0.7759104,0.7855564,0.6655534,0.92065614,0.67529505,0.8539034
amos_0018.nii.gz,0.9712432,0.9517772,0.9597536,0.9067471,0.8224493,0.97454625,0.9378535,0.94470817,0.87638533,0.818363,0.6727657,0.7582697,0.74537456,0.9225565,0.72198445,0.8656519
amos_0022.nii.gz,0.96069217,0.9543371,0.95326626,0.87546575,0.86616164,0.96908593,0.93731105,0.94125694,0.89610004,0.8573029,0.75415283,0.7959787,0.8559333,0.7879986,0.9008245,0.88705784
amos_0029.nii.gz,0.96112335,0.96434397,0.9660683,0.9369794,0.8787725,0.9826361,0.9653819,0.93135625,0.91946685,0.8726651,0.87202513,0.82450044,0.7642505,0.9601516,nan,0.9142658
amos_0032.nii.gz,0.96630156,0.96936494,0.9659572,0.9206,0.8747813,0.9739878,0.9700862,0.94305986,0.90095943,0.89657146,0.8392435,0.8368356,0.86301875,0.9547788,0.85510635,0.91537684
amos_0034.nii.gz,0.95457023,0.9659048,0.9566157,0.8133429,0.7916243,0.9619191,0.74414134,0.9491492,0.8531304,0.7329238,0.6031746,0.6770026,0.6346907,0.8337652,0.86429656,0.82241666
amos_0040.nii.gz,0.96504325,0.9406489,0.94646484,0.64179844,0.8057619,0.9672589,0.9558709,0.83826333,0.8112695,0.82425994,0.70575917,0.80367583,0.8590391,0.339019,0.7147905,0.8079282
amos_0041.nii.gz,0.9557681,0.95065373,0.9441531,0.63180363,0.78973347,0.96599984,0.8576624,0.8994905,0.8584503,0.7040786,0.71513104,0.64905226,0.5906311,0.9205492,0.6246799,0.80385584
amos_0051.nii.gz,0.94372314,0.93494934,0.9422943,0.78318584,0.8104027,0.96806836,0.86534697,0.9434894,0.8128678,0.82408285,0.77880186,0.6901099,0.7878135,0.8165787,0.78966916,0.8460923
amos_0056.nii.gz,0.94705987,0.93873835,0.92929816,nan,0.24810892,0.97036475,0.8700324,0.93618184,0.81727785,0.43438837,0.71362126,0.7312775,nan,0.96165276,0.84214246,0.79539573
amos_0061.nii.gz,0.9709835,0.6381486,0.951823,0.9250969,0.82783884,0.94719434,0.9650373,0.9132875,0.8905121,0.83157754,0.67957747,0.72360617,0.83958346,0.84514046,0.8873671,0.855785
amos_0063.nii.gz,0.9499922,0.9514227,0.94251007,0.89077413,0.8037889,0.9614955,0.92036134,0.91077197,0.85382885,0.8639563,0.66800404,0.71495014,0.7586432,0.58347654,0.882908,0.8437922
amos_0070.nii.gz,0.96384597,0.95038587,0.89024,nan,0.86015946,0.9777597,0.9703189,0.94369745,0.8460241,0.8991551,0.7718833,0.8454054,0.76908916,0.8381199,0.34148383,0.84768337
amos_0073.nii.gz,0.96347505,0.96238834,0.95454377,0.86187565,0.8629174,0.97466177,0.9516736,0.94356596,0.84173656,0.84412086,0.8192926,0.6871055,0.8567901,0.91040605,0.8325112,0.884471
amos_0085.nii.gz,0.9580916,0.9606492,0.9505917,0.75295067,0.6351918,0.964228,0.89333445,0.9218897,0.78538746,0.8689746,0.6628308,0.8115183,0.7983427,0.96062267,0.84891284,0.85156786
amos_0087.nii.gz,0.96609914,0.9508372,0.9495817,0.91291404,0.8480712,0.9668662,0.94511026,0.9283054,0.9190609,0.8226534,0.6858573,0.78836364,0.810841,0.9604534,0.88630164,0.8894211
amos_0090.nii.gz,0.9664936,0.95950586,0.96781766,0.9156076,0.8797292,0.97901523,0.95288706,0.94669116,0.883796,0.89684284,0.7615298,0.7616179,0.86315995,0.93137914,0.8355685,0.9001094
