class,mean,median,max,min,90percentile,std,notnans
class0,0.0001,0.0000,0.0062,0.0000,0.0001,0.0006,100.0000
class1,0.0049,0.0018,0.2396,0.0003,0.0050,0.0237,100.0000
class2,0.0167,0.0027,0.9821,0.0005,0.0083,0.1024,99.0000
class3,0.0034,0.0024,0.0164,0.0005,0.0078,0.0031,100.0000
class4,0.1091,0.0109,0.9993,0.0011,0.3734,0.2629,100.0000
class5,0.0415,0.0274,0.4605,0.0046,0.0835,0.0538,100.0000
class6,0.0021,0.0014,0.0242,0.0002,0.0039,0.0028,100.0000
class7,0.0303,0.0044,1.0000,0.0006,0.0362,0.1142,100.0000
class8,0.0050,0.0035,0.0720,0.0004,0.0087,0.0075,100.0000
class9,0.0182,0.0118,0.1240,0.0020,0.0355,0.0197,100.0000
class10,0.0480,0.0234,0.5265,0.0049,0.1236,0.0707,100.0000
class11,0.0746,0.0561,0.4792,0.0034,0.1445,0.0709,100.0000
class12,0.0745,0.0484,0.8112,0.0017,0.1551,0.0998,100.0000
class13,0.0732,0.0382,0.9999,0.0031,0.1180,0.1249,100.0000
class14,0.0627,0.0078,0.8467,0.0005,0.1439,0.1617,99.0000
class15,0.0945,0.0219,0.9994,0.0008,0.2774,0.2078,100.0000
mean,0.0412,0.0315,0.2081,0.0050,0.0846,0.0337,100.0000
