filename,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,mean
amos_0008.nii.gz,0.998513,0.9456734,0.9409728,0.93277067,0.8214102,0.77268696,0.96972454,0.8942901,0.9438761,0.8017756,0.87918925,0.76719946,0.7323232,0.7359491,0.9473167,0.860342,0.8715008
amos_0013.nii.gz,0.9966216,0.9476327,0.9425191,0.9371567,0.9128241,0.7760039,0.9731242,0.8971928,0.9366896,0.8692816,0.7931403,0.7759104,0.7855564,0.6655026,0.92065614,0.67539924,0.8628257
amos_0018.nii.gz,0.99825317,0.9712227,0.9517772,0.95970213,0.906897,0.8224493,0.974558,0.9378412,0.94470817,0.87638533,0.81832737,0.6727657,0.7576375,0.7454339,0.9225757,0.7218601,0.8738997
amos_0022.nii.gz,0.9985384,0.96066904,0.9543371,0.95328146,0.8753669,0.86616164,0.9690944,0.9373223,0.9412827,0.89610004,0.8573329,0.75415283,0.7959787,0.85598326,0.7880671,0.9008892,0.8940349
amos_0029.nii.gz,0.9982876,0.9611379,0.9643575,0.9660691,0.9369794,0.87871677,0.98263615,0.9653819,0.93138605,0.91946685,0.8726913,0.87202513,0.82450044,0.7642505,0.9601516,nan,0.91986924
amos_0032.nii.gz,0.9985409,0.96630156,0.96936494,0.9659572,0.9206,0.8747813,0.97399056,0.9700831,0.9431012,0.9009836,0.89657146,0.8392435,0.8368356,0.86301875,0.95476466,0.8552016,0.9205837
amos_0034.nii.gz,0.9973527,0.9546006,0.9659048,0.9566157,0.8132482,0.7916243,0.9619255,0.74418294,0.9491492,0.8531304,0.7329819,0.6031746,0.6770026,0.63472474,0.83367074,0.86429656,0.8333491
amos_0040.nii.gz,0.99481,0.9650544,0.9406688,0.9464862,0.64179844,0.80558056,0.96725565,0.9558654,0.8382779,0.8112695,0.82425994,0.70575917,0.80367583,0.85908043,0.33898306,0.71465147,0.81959224
amos_0041.nii.gz,0.9968625,0.9557525,0.95065373,0.9441531,0.63180363,0.78973347,0.9659997,0.8576624,0.8994905,0.8583789,0.7040094,0.71513104,0.64905226,0.5905581,0.9205492,0.6246384,0.8159018
amos_0051.nii.gz,0.9979369,0.9437172,0.9349298,0.94224244,0.78318584,0.8104027,0.9680664,0.86534697,0.9434894,0.8128678,0.82409805,0.77880186,0.6901099,0.78776634,0.81665486,0.78966916,0.85558033
amos_0056.nii.gz,0.99681735,0.94705987,0.9387231,0.9292831,nan,0.24810892,0.97036827,0.8700267,0.9362016,0.81731516,0.43431544,0.71362126,0.7312775,nan,0.9616402,0.84214246,0.80977863
amos_0061.nii.gz,0.994438,0.9710035,0.638165,0.951823,0.92498124,0.8283445,0.9472049,0.96502954,0.9132875,0.8904766,0.83157754,0.67957747,0.72360617,0.83958346,0.8451151,0.8873671,0.8644738
