class,mean,median,max,min,90percentile,std,notnans
class0,0.1428,0.1176,0.5506,0.0593,0.2438,0.0820,87.0000
class1,0.1376,0.1252,0.6400,0.0454,0.2028,0.0705,87.0000
class2,0.1253,0.1185,0.2694,0.0402,0.1933,0.0468,87.0000
class3,0.2329,0.2080,0.8753,0.0697,0.4104,0.1341,87.0000
class4,0.2153,0.1917,0.5111,0.0710,0.3382,0.0940,87.0000
class5,0.1214,0.1066,0.3078,0.0360,0.2257,0.0592,87.0000
class6,0.1542,0.1130,0.5088,0.0470,0.3102,0.1066,87.0000
class7,0.1361,0.1219,0.5495,0.0529,0.2130,0.0696,87.0000
class8,0.1546,0.1475,0.4024,0.0618,0.2301,0.0636,87.0000
class9,0.1516,0.1362,0.4896,0.0491,0.2575,0.0829,87.0000
class10,0.2815,0.2584,0.6275,0.0921,0.4316,0.1054,87.0000
class11,0.2710,0.2485,0.7717,0.1036,0.3818,0.1026,87.0000
class12,0.1717,0.1582,0.4563,0.0460,0.2822,0.0771,87.0000
class13,0.2234,0.1806,0.8093,0.0630,0.3616,0.1513,87.0000
class14,0.2611,0.2309,0.9665,0.0576,0.4258,0.1481,87.0000
mean,0.1854,0.1797,0.2864,0.1256,0.2290,0.0358,87.0000
