filename,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,mean
amos_0008.nii.gz,0.9456984,0.9409245,0.93272376,0.8215159,0.7724586,0.9697293,0.8942183,0.9438761,0.8018293,0.87915945,0.76719946,0.7323232,0.7360563,0.94731325,0.860342,0.8630246
amos_0013.nii.gz,0.94766665,0.9424914,0.9371345,0.9128241,0.7756286,0.9731284,0.8972004,0.9366896,0.86932886,0.7931403,0.7759104,0.7855564,0.6655534,0.9207018,0.67532164,0.85388505
amos_0018.nii.gz,0.97122216,0.951742,0.9597495,0.9067727,0.8224493,0.97455627,0.93782234,0.9446792,0.87638533,0.8184097,0.6727657,0.75802344,0.74549323,0.92255014,0.7218601,0.86563206
amos_0022.nii.gz,0.96066904,0.9543371,0.9532618,0.87546575,0.8658883,0.96909386,0.9373171,0.9412827,0.89605194,0.8573329,0.75415283,0.7959787,0.8559085,0.7880877,0.90083617,0.8870443
amos_0032.nii.gz,0.9663096,0.96936405,0.9659572,0.92053664,0.8747813,0.97399163,0.9701155,0.94309884,0.9009923,0.89657146,0.8392435,0.8368356,0.8629791,0.95476335,0.85510635,0.9153765
amos_0034.nii.gz,0.9545861,0.9659048,0.9565599,0.8133429,0.79146343,0.96192515,0.7441922,0.9491492,0.85314,0.7329819,0.6031746,0.6770026,0.634798,0.83367074,0.86429656,0.82241255
amos_0040.nii.gz,0.965048,0.9406688,0.946484,0.64179844,0.80558056,0.9672536,0.95589453,0.83826333,0.8112695,0.8242411,0.70575917,0.80367583,0.85908043,0.33894223,0.71465147,0.80790734
amos_0041.nii.gz,0.9557681,0.9506285,0.9441381,0.63180363,0.78973347,0.9660058,0.85766673,0.8994905,0.8583789,0.7040094,0.71513104,0.64905226,0.5906924,0.92054385,0.6246592,0.8038468
amos_0051.nii.gz,0.9437432,0.93494934,0.9421847,0.78318584,0.8104027,0.96806836,0.86531466,0.9434894,0.8128678,0.82413363,0.77880186,0.6901099,0.78776634,0.8166838,0.7900776,0.8461186
amos_0061.nii.gz,0.9709935,0.6381814,0.951823,0.92498124,0.82783884,0.94720894,0.96501106,0.9132875,0.8904766,0.8315924,0.67957747,0.72360617,0.83953816,0.84513116,0.8873837,0.8557754
amos_0063.nii.gz,0.949961,0.9514227,0.94252324,0.89077413,0.8037889,0.96149516,0.92042696,0.9108029,0.8538896,0.864,0.66800404,0.71495014,0.7586432,0.5834169,0.882908,0.8438005
amos_0073.nii.gz,0.9634505,0.96236867,0.95454204,0.86187565,0.8629174,0.9746639,0.95163685,0.94356596,0.84173656,0.8440367,0.8192926,0.6871055,0.8569077,0.9104435,0.8325112,0.88447034
amos_0085.nii.gz,0.9580861,0.96069276,0.95061266,0.75311786,0.63540375,0.9642335,0.893367,0.9218897,0.7853322,0.8690245,0.6628308,0.8115183,0.7983427,0.9605833,0.8488891,0.85159504
amos_0087.nii.gz,0.9660889,0.95081645,0.9496156,0.91291404,0.84841293,0.96686834,0.9450889,0.9283054,0.91898346,0.8226534,0.6858573,0.78836364,0.81080323,0.9604653,0.8862087,0.88942975
amos_0090.nii.gz,0.9665011,0.95950466,0.96777415,0.915546,0.8797292,0.979015,0.9529004,0.94666994,0.88382286,0.89684284,0.7615298,0.7619458,0.86315995,0.9314397,0.83542573,0.90012044
amos_0106.nii.gz,0.9725941,0.9623921,0.9650184,0.12605043,0.8690037,0.9824884,0.9545729,0.9152898,0.8563522,0.83594793,0.86138105,0.9032663,0.8438494,0.86064196,0.8018511,0.8473799
