class,mean,median,max,min,90percentile,std,notnans
class0,0.0642,0.0488,0.3042,0.0166,0.1104,0.0455,100.0000
class1,0.0674,0.0549,0.3726,0.0147,0.0982,0.0541,100.0000
class2,0.0580,0.0519,0.1400,0.0145,0.0903,0.0264,100.0000
class3,0.1248,0.0886,0.4988,0.0202,0.2550,0.1119,100.0000
class4,0.0902,0.0820,0.2396,0.0147,0.1545,0.0482,100.0000
class5,0.0608,0.0539,0.1606,0.0146,0.1040,0.0336,100.0000
class6,0.0785,0.0600,0.4994,0.0107,0.1696,0.0675,100.0000
class7,0.0627,0.0530,0.2647,0.0220,0.1025,0.0362,100.0000
class8,0.0732,0.0697,0.2116,0.0158,0.1182,0.0367,100.0000
class9,0.0760,0.0653,0.2850,0.0175,0.1339,0.0512,100.0000
class10,0.1107,0.0961,0.3838,0.0339,0.1929,0.0593,100.0000
class11,0.1105,0.0952,0.4253,0.0425,0.1822,0.0585,100.0000
class12,0.0843,0.0767,0.4989,0.0158,0.1514,0.0576,100.0000
class13,0.1062,0.0876,0.3335,0.0227,0.1892,0.0708,100.0000
class14,0.1363,0.1073,0.4943,0.0197,0.2706,0.0974,100.0000
mean,0.0869,0.0825,0.1743,0.0519,0.1192,0.0221,100.0000
