class,mean,median,max,min,90percentile,std,notnans
class0,0.1436,0.1244,0.5506,0.0593,0.2416,0.0787,100.0000
class1,0.1470,0.1286,0.7268,0.0454,0.2075,0.0928,100.0000
class2,0.1287,0.1212,0.2694,0.0402,0.2041,0.0486,100.0000
class3,0.2710,0.2106,0.9818,0.0634,0.4555,0.2080,100.0000
class4,0.2159,0.1986,0.5111,0.0357,0.3390,0.0967,100.0000
class5,0.1206,0.1047,0.3078,0.0325,0.2262,0.0604,100.0000
class6,0.1618,0.1130,0.9908,0.0311,0.3149,0.1380,100.0000
class7,0.1382,0.1278,0.5495,0.0529,0.2125,0.0665,100.0000
class8,0.1549,0.1482,0.4024,0.0391,0.2313,0.0639,100.0000
class9,0.1606,0.1399,0.5632,0.0491,0.2936,0.0956,100.0000
class10,0.2846,0.2622,0.6275,0.0921,0.4331,0.1070,100.0000
class11,0.2648,0.2456,0.7717,0.1013,0.3811,0.1009,100.0000
class12,0.1803,0.1592,0.9828,0.0460,0.2824,0.1112,100.0000
class13,0.2171,0.1762,0.8093,0.0627,0.3612,0.1469,100.0000
class14,0.2763,0.2319,0.9665,0.0576,0.5207,0.1755,100.0000
mean,0.1910,0.1843,0.3537,0.1256,0.2412,0.0421,100.0000
