class,mean,median,max,min,90percentile,std,notnans
class0,0.9611,0.9666,0.9837,0.7241,0.9799,0.0288,100.0000
class1,0.9553,0.9624,0.9794,0.6382,0.9747,0.0381,98.0000
class2,0.9585,0.9606,0.9802,0.8903,0.9733,0.0142,100.0000
class3,0.8465,0.9112,0.9731,0.0291,0.9488,0.1922,93.0000
class4,0.8272,0.8570,0.9485,0.1125,0.9179,0.1171,100.0000
class5,0.9726,0.9747,0.9896,0.9237,0.9841,0.0128,100.0000
class6,0.9119,0.9464,0.9814,0.3041,0.9684,0.1148,99.0000
class7,0.9433,0.9533,0.9725,0.5212,0.9664,0.0478,100.0000
class8,0.9029,0.9101,0.9585,0.7853,0.9445,0.0384,100.0000
class9,0.8438,0.8748,0.9388,0.4344,0.9159,0.0942,100.0000
class10,0.7587,0.7742,0.9079,0.0000,0.8660,0.1183,100.0000
class11,0.7736,0.7875,0.9343,0.1920,0.8883,0.1104,100.0000
class12,0.8127,0.8362,0.9369,0.2974,0.9035,0.0991,99.0000
class13,0.8723,0.9231,0.9845,0.2264,0.9733,0.1485,99.0000
class14,0.8139,0.8717,0.9575,0.0000,0.9252,0.1619,97.0000
mean,0.8770,0.8829,0.9376,0.7245,0.9251,0.0429,100.0000
