class,mean,median,max,min,90percentile,std,notnans
class0,0.0158,0.0158,0.0158,0.0158,0.0158,0.0000,1.0000
class1,0.0086,0.0086,0.0086,0.0086,0.0086,0.0000,1.0000
class2,0.0194,0.0194,0.0194,0.0194,0.0194,0.0000,1.0000
class3,0.0257,0.0257,0.0257,0.0257,0.0257,0.0000,1.0000
class4,0.0318,0.0318,0.0318,0.0318,0.0318,0.0000,1.0000
class5,0.0198,0.0198,0.0198,0.0198,0.0198,0.0000,1.0000
class6,0.0276,0.0276,0.0276,0.0276,0.0276,0.0000,1.0000
class7,0.0240,0.0240,0.0240,0.0240,0.0240,0.0000,1.0000
class8,0.0196,0.0196,0.0196,0.0196,0.0196,0.0000,1.0000
class9,0.0363,0.0363,0.0363,0.0363,0.0363,0.0000,1.0000
class10,0.0296,0.0296,0.0296,0.0296,0.0296,0.0000,1.0000
class11,0.0264,0.0264,0.0264,0.0264,0.0264,0.0000,1.0000
class12,0.0456,0.0456,0.0456,0.0456,0.0456,0.0000,1.0000
class13,0.0493,0.0493,0.0493,0.0493,0.0493,0.0000,1.0000
class14,0.0565,0.0565,0.0565,0.0565,0.0565,0.0000,1.0000
mean,0.0291,0.0291,0.0291,0.0291,0.0291,0.0000,1.0000
