class,mean,median,max,min,90percentile,std,notnans
class0,0.9612,0.9666,0.9838,0.7229,0.9798,0.0288,100.0000
class1,0.9552,0.9623,0.9790,0.6309,0.9746,0.0387,98.0000
class2,0.9585,0.9606,0.9800,0.8902,0.9738,0.0144,100.0000
class3,0.8484,0.9109,0.9717,0.0301,0.9486,0.1882,93.0000
class4,0.8281,0.8566,0.9457,0.1133,0.9192,0.1166,100.0000
class5,0.9724,0.9746,0.9896,0.9244,0.9839,0.0129,100.0000
class6,0.9121,0.9461,0.9812,0.3046,0.9697,0.1141,99.0000
class7,0.9432,0.9527,0.9722,0.5219,0.9667,0.0477,100.0000
class8,0.9030,0.9112,0.9589,0.7846,0.9436,0.0383,100.0000
class9,0.8443,0.8753,0.9390,0.4371,0.9160,0.0929,100.0000
class10,0.7630,0.7746,0.9116,0.0179,0.8675,0.1137,100.0000
class11,0.7746,0.7907,0.9382,0.1799,0.8897,0.1100,100.0000
class12,0.8136,0.8389,0.9361,0.3110,0.9032,0.0975,99.0000
class13,0.8720,0.9243,0.9846,0.2280,0.9734,0.1485,99.0000
class14,0.8141,0.8724,0.9573,0.0000,0.9256,0.1612,97.0000
mean,0.8777,0.8845,0.9389,0.7284,0.9248,0.0425,100.0000
