class,mean,median,max,min,90percentile,std,notnans
class0,0.1514,0.1453,0.4921,0.0333,0.2164,0.0669,100.0000
class1,0.1583,0.1577,0.5680,0.0374,0.2181,0.0795,100.0000
class2,0.1545,0.1608,0.2680,0.0574,0.2181,0.0491,100.0000
class3,0.2677,0.2185,0.9732,0.0623,0.4232,0.1922,100.0000
class4,0.2024,0.2035,0.4860,0.0553,0.2896,0.0745,100.0000
class5,0.1300,0.1331,0.2436,0.0218,0.1917,0.0519,100.0000
class6,0.1703,0.1465,0.9876,0.0353,0.2660,0.1204,100.0000
class7,0.1604,0.1546,0.4992,0.0450,0.2348,0.0664,100.0000
class8,0.1605,0.1555,0.2924,0.0627,0.2359,0.0477,100.0000
class9,0.1540,0.1463,0.4817,0.0392,0.2229,0.0757,100.0000
class10,0.2606,0.2381,0.5690,0.0931,0.3872,0.0997,100.0000
class11,0.2535,0.2345,0.9545,0.0793,0.3659,0.1129,100.0000
class12,0.1629,0.1434,0.9737,0.0369,0.2454,0.1138,100.0000
class13,0.2204,0.1994,0.8881,0.0617,0.2934,0.1422,100.0000
class14,0.2574,0.2169,0.9555,0.0633,0.4638,0.1518,100.0000
mean,0.1909,0.1903,0.3274,0.1136,0.2364,0.0377,100.0000
