class,mean,median,max,min,90percentile,std,notnans
class0,0.0449,0.0449,0.0449,0.0449,0.0449,0.0000,1.0000
class1,0.0492,0.0492,0.0492,0.0492,0.0492,0.0000,1.0000
class2,0.0594,0.0594,0.0594,0.0594,0.0594,0.0000,1.0000
class3,0.0362,0.0362,0.0362,0.0362,0.0362,0.0000,1.0000
class4,0.0354,0.0354,0.0354,0.0354,0.0354,0.0000,1.0000
class5,0.0376,0.0376,0.0376,0.0376,0.0376,0.0000,1.0000
class6,0.0305,0.0305,0.0305,0.0305,0.0305,0.0000,1.0000
class7,0.0557,0.0557,0.0557,0.0557,0.0557,0.0000,1.0000
class8,0.0407,0.0407,0.0407,0.0407,0.0407,0.0000,1.0000
class9,0.0286,0.0286,0.0286,0.0286,0.0286,0.0000,1.0000
class10,0.0555,0.0555,0.0555,0.0555,0.0555,0.0000,1.0000
class11,0.0390,0.0390,0.0390,0.0390,0.0390,0.0000,1.0000
class12,0.0118,0.0118,0.0118,0.0118,0.0118,0.0000,1.0000
class13,0.0314,0.0314,0.0314,0.0314,0.0314,0.0000,1.0000
class14,0.0170,0.0170,0.0170,0.0170,0.0170,0.0000,1.0000
mean,0.0382,0.0382,0.0382,0.0382,0.0382,0.0000,1.0000
